Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
mentir,лгать,"<span class=""pronoun"">je</span> {{c1::mens}}<br><span class=""pronoun"">tu</span> {{c1::mens}}<br><span class=""pronoun"">il/elle</span> {{c1::ment}}","<span class=""pronoun"">nous</span> {{c2::mentons}}<br><span class=""pronoun"">vous</span> {{c2::mentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::mentent}}",-tir,Comme partir. Tu mens!
naître,рождаться,"<span class=""pronoun"">je</span> {{c1::nais}}<br><span class=""pronoun"">tu</span> {{c1::nais}}<br><span class=""pronoun"">il/elle</span> {{c1::naît}}","<span class=""pronoun"">nous</span> {{c2::naissons}}<br><span class=""pronoun"">vous</span> {{c2::naissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::naissent}}",-aître,Comme connaître. Je suis né(e) au Québec.
souffrir,страдать,"<span class=""pronoun"">je</span> {{c1::souffre}}<br><span class=""pronoun"">tu</span> {{c1::souffres}}<br><span class=""pronoun"">il/elle</span> {{c1::souffre}}","<span class=""pronoun"">nous</span> {{c2::souffrons}}<br><span class=""pronoun"">vous</span> {{c2::souffrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::souffrent}}",-frir (comme -er),Comme ouvrir. Je souffre du dos.
apercevoir,замечать,"<span class=""pronoun"">j'</span>{{c1::aperçois}}<br><span class=""pronoun"">tu</span> {{c1::aperçois}}<br><span class=""pronoun"">il/elle</span> {{c1::aperçoit}}","<span class=""pronoun"">nous</span> {{c2::apercevons}}<br><span class=""pronoun"">vous</span> {{c2::apercevez}}<br><span class=""pronoun"">ils/elles</span> {{c2::aperçoivent}}",-cevoir,Comme recevoir. S'apercevoir de.
craindre,бояться,"<span class=""pronoun"">je</span> {{c1::crains}}<br><span class=""pronoun"">tu</span> {{c1::crains}}<br><span class=""pronoun"">il/elle</span> {{c1::craint}}","<span class=""pronoun"">nous</span> {{c2::craignons}}<br><span class=""pronoun"">vous</span> {{c2::craignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::craignent}}",-aindre,gn au pluriel. Modèle: plaindre.
maintenir,поддерживать,"<span class=""pronoun"">je</span> {{c1::maintiens}}<br><span class=""pronoun"">tu</span> {{c1::maintiens}}<br><span class=""pronoun"">il/elle</span> {{c1::maintient}}","<span class=""pronoun"">nous</span> {{c2::maintenons}}<br><span class=""pronoun"">vous</span> {{c2::maintenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::maintiennent}}",-enir,Comme tenir.
rejoindre,присоединяться,"<span class=""pronoun"">je</span> {{c1::rejoins}}<br><span class=""pronoun"">tu</span> {{c1::rejoins}}<br><span class=""pronoun"">il/elle</span> {{c1::rejoint}}","<span class=""pronoun"">nous</span> {{c2::rejoignons}}<br><span class=""pronoun"">vous</span> {{c2::rejoignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rejoignent}}",-oindre,gn au pluriel. Je te rejoins!
prévenir,предупреждать,"<span class=""pronoun"">je</span> {{c1::préviens}}<br><span class=""pronoun"">tu</span> {{c1::préviens}}<br><span class=""pronoun"">il/elle</span> {{c1::prévient}}","<span class=""pronoun"">nous</span> {{c2::prévenons}}<br><span class=""pronoun"">vous</span> {{c2::prévenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::préviennent}}",-enir,Comme venir. Préviens-moi!
couvrir,покрывать,"<span class=""pronoun"">je</span> {{c1::couvre}}<br><span class=""pronoun"">tu</span> {{c1::couvres}}<br><span class=""pronoun"">il/elle</span> {{c1::couvre}}","<span class=""pronoun"">nous</span> {{c2::couvrons}}<br><span class=""pronoun"">vous</span> {{c2::couvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::couvrent}}",-vrir (comme -er),Comme ouvrir.
tendre,тянуть,"<span class=""pronoun"">je</span> {{c1::tends}}<br><span class=""pronoun"">tu</span> {{c1::tends}}<br><span class=""pronoun"">il/elle</span> {{c1::tend}}","<span class=""pronoun"">nous</span> {{c2::tendons}}<br><span class=""pronoun"">vous</span> {{c2::tendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::tendent}}",-endre régulier,Tendre la main.
retenir,задерживать,"<span class=""pronoun"">je</span> {{c1::retiens}}<br><span class=""pronoun"">tu</span> {{c1::retiens}}<br><span class=""pronoun"">il/elle</span> {{c1::retient}}","<span class=""pronoun"">nous</span> {{c2::retenons}}<br><span class=""pronoun"">vous</span> {{c2::retenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::retiennent}}",-enir,Comme tenir. Retenir une chambre.
détruire,разрушать,"<span class=""pronoun"">je</span> {{c1::détruis}}<br><span class=""pronoun"">tu</span> {{c1::détruis}}<br><span class=""pronoun"">il/elle</span> {{c1::détruit}}","<span class=""pronoun"">nous</span> {{c2::détruisons}}<br><span class=""pronoun"">vous</span> {{c2::détruisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::détruisent}}",-uire,Comme conduire.
apparaître,появляться,"<span class=""pronoun"">j'</span>{{c1::apparais}}<br><span class=""pronoun"">tu</span> {{c1::apparais}}<br><span class=""pronoun"">il/elle</span> {{c1::apparaît}}","<span class=""pronoun"">nous</span> {{c2::apparaissons}}<br><span class=""pronoun"">vous</span> {{c2::apparaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::apparaissent}}",-aître,Comme connaître. Être ou avoir au PC.
atteindre,достигать,"<span class=""pronoun"">j'</span>{{c1::atteins}}<br><span class=""pronoun"">tu</span> {{c1::atteins}}<br><span class=""pronoun"">il/elle</span> {{c1::atteint}}","<span class=""pronoun"">nous</span> {{c2::atteignons}}<br><span class=""pronoun"">vous</span> {{c2::atteignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::atteignent}}",-eindre,"gn au pluriel. Modèle: peindre, éteindre."
appartenir,принадлежать,"<span class=""pronoun"">j'</span>{{c1::appartiens}}<br><span class=""pronoun"">tu</span> {{c1::appartiens}}<br><span class=""pronoun"">il/elle</span> {{c1::appartient}}","<span class=""pronoun"">nous</span> {{c2::appartenons}}<br><span class=""pronoun"">vous</span> {{c2::appartenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::appartiennent}}",-enir,Comme tenir. Ça m'appartient.
obtenir,получать,"<span class=""pronoun"">j'</span>{{c1::obtiens}}<br><span class=""pronoun"">tu</span> {{c1::obtiens}}<br><span class=""pronoun"">il/elle</span> {{c1::obtient}}","<span class=""pronoun"">nous</span> {{c2::obtenons}}<br><span class=""pronoun"">vous</span> {{c2::obtenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::obtiennent}}",-enir,Comme tenir. Obtenir un visa.
défendre,защищать,"<span class=""pronoun"">je</span> {{c1::défends}}<br><span class=""pronoun"">tu</span> {{c1::défends}}<br><span class=""pronoun"">il/elle</span> {{c1::défend}}","<span class=""pronoun"">nous</span> {{c2::défendons}}<br><span class=""pronoun"">vous</span> {{c2::défendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::défendent}}",-endre régulier,Défendre une idée. Se défendre.
poursuivre,продолжать,"<span class=""pronoun"">je</span> {{c1::poursuis}}<br><span class=""pronoun"">tu</span> {{c1::poursuis}}<br><span class=""pronoun"">il/elle</span> {{c1::poursuit}}","<span class=""pronoun"">nous</span> {{c2::poursuivons}}<br><span class=""pronoun"">vous</span> {{c2::poursuivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::poursuivent}}",-ivre,Comme suivre. Poursuivre ses études.
surprendre,удивлять,"<span class=""pronoun"">je</span> {{c1::surprends}}<br><span class=""pronoun"">tu</span> {{c1::surprends}}<br><span class=""pronoun"">il/elle</span> {{c1::surprend}}","<span class=""pronoun"">nous</span> {{c2::surprenons}}<br><span class=""pronoun"">vous</span> {{c2::surprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::surprennent}}",-endre,Comme prendre. Ça me surprend!
prévoir,предвидеть,"<span class=""pronoun"">je</span> {{c1::prévois}}<br><span class=""pronoun"">tu</span> {{c1::prévois}}<br><span class=""pronoun"">il/elle</span> {{c1::prévoit}}","<span class=""pronoun"">nous</span> {{c2::prévoyons}}<br><span class=""pronoun"">vous</span> {{c2::prévoyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::prévoient}}",-oir,Comme voir. Mais futur: je prévoirai (pas préverrai)!
fuir,бежать (от),"<span class=""pronoun"">je</span> {{c1::fuis}}<br><span class=""pronoun"">tu</span> {{c1::fuis}}<br><span class=""pronoun"">il/elle</span> {{c1::fuit}}","<span class=""pronoun"">nous</span> {{c2::fuyons}}<br><span class=""pronoun"">vous</span> {{c2::fuyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::fuient}}",-uir,y au pluriel. S'enfuir aussi.
parvenir,достигать,"<span class=""pronoun"">je</span> {{c1::parviens}}<br><span class=""pronoun"">tu</span> {{c1::parviens}}<br><span class=""pronoun"">il/elle</span> {{c1::parvient}}","<span class=""pronoun"">nous</span> {{c2::parvenons}}<br><span class=""pronoun"">vous</span> {{c2::parvenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::parviennent}}",-enir,Comme venir. Parvenir à + inf.
ressentir,испытывать,"<span class=""pronoun"">je</span> {{c1::ressens}}<br><span class=""pronoun"">tu</span> {{c1::ressens}}<br><span class=""pronoun"">il/elle</span> {{c1::ressent}}","<span class=""pronoun"">nous</span> {{c2::ressentons}}<br><span class=""pronoun"">vous</span> {{c2::ressentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ressentent}}",-tir,Comme sentir.
repartir,уезжать снова,"<span class=""pronoun"">je</span> {{c1::repars}}<br><span class=""pronoun"">tu</span> {{c1::repars}}<br><span class=""pronoun"">il/elle</span> {{c1::repart}}","<span class=""pronoun"">nous</span> {{c2::repartons}}<br><span class=""pronoun"">vous</span> {{c2::repartez}}<br><span class=""pronoun"">ils/elles</span> {{c2::repartent}}",-tir,Comme partir.
éteindre,тушить,"<span class=""pronoun"">j'</span>{{c1::éteins}}<br><span class=""pronoun"">tu</span> {{c1::éteins}}<br><span class=""pronoun"">il/elle</span> {{c1::éteint}}","<span class=""pronoun"">nous</span> {{c2::éteignons}}<br><span class=""pronoun"">vous</span> {{c2::éteignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::éteignent}}",-eindre,gn au pluriel. Éteins la lumière!
plaindre,жалеть,"<span class=""pronoun"">je</span> {{c1::plains}}<br><span class=""pronoun"">tu</span> {{c1::plains}}<br><span class=""pronoun"">il/elle</span> {{c1::plaint}}","<span class=""pronoun"">nous</span> {{c2::plaignons}}<br><span class=""pronoun"">vous</span> {{c2::plaignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::plaignent}}",-aindre,gn au pluriel. Se plaindre de.
construire,строить,"<span class=""pronoun"">je</span> {{c1::construis}}<br><span class=""pronoun"">tu</span> {{c1::construis}}<br><span class=""pronoun"">il/elle</span> {{c1::construit}}","<span class=""pronoun"">nous</span> {{c2::construisons}}<br><span class=""pronoun"">vous</span> {{c2::construisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::construisent}}",-uire,Comme conduire.
interdire,запрещать,"<span class=""pronoun"">j'</span>{{c1::interdis}}<br><span class=""pronoun"">tu</span> {{c1::interdis}}<br><span class=""pronoun"">il/elle</span> {{c1::interdit}}","<span class=""pronoun"">nous</span> {{c2::interdisons}}<br><span class=""pronoun"">vous</span> {{c2::interdisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::interdisent}}",-ire,"Comme dire, MAIS vous interdisez (pas *interdites)!"
pleuvoir,идти (о дожде),"<span class=""pronoun"">il</span> {{c1::pleut}}",—,impersonnel,Seulement il pleut. Il pleut des cordes.
endormir,усыплять,"<span class=""pronoun"">j'</span>{{c1::endors}}<br><span class=""pronoun"">tu</span> {{c1::endors}}<br><span class=""pronoun"">il/elle</span> {{c1::endort}}","<span class=""pronoun"">nous</span> {{c2::endormons}}<br><span class=""pronoun"">vous</span> {{c2::endormez}}<br><span class=""pronoun"">ils/elles</span> {{c2::endorment}}",-mir,Comme dormir. S'endormir.
étendre,распространять,"<span class=""pronoun"">j'</span>{{c1::étends}}<br><span class=""pronoun"">tu</span> {{c1::étends}}<br><span class=""pronoun"">il/elle</span> {{c1::étend}}","<span class=""pronoun"">nous</span> {{c2::étendons}}<br><span class=""pronoun"">vous</span> {{c2::étendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::étendent}}",-endre régulier,S'étendre.
produire,производить,"<span class=""pronoun"">je</span> {{c1::produis}}<br><span class=""pronoun"">tu</span> {{c1::produis}}<br><span class=""pronoun"">il/elle</span> {{c1::produit}}","<span class=""pronoun"">nous</span> {{c2::produisons}}<br><span class=""pronoun"">vous</span> {{c2::produisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::produisent}}",-uire,Comme conduire. Se produire.
enfuir,убегать,"<span class=""pronoun"">je</span> {{c1::m'enfuis}}<br><span class=""pronoun"">tu</span> {{c1::t'enfuis}}<br><span class=""pronoun"">il/elle</span> {{c1::s'enfuit}}","<span class=""pronoun"">nous</span> {{c2::nous enfuyons}}<br><span class=""pronoun"">vous</span> {{c2::vous enfuyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'enfuient}}",-uir,Comme fuir. Toujours réfléchi: s'enfuir.
admettre,допускать,"<span class=""pronoun"">j'</span>{{c1::admets}}<br><span class=""pronoun"">tu</span> {{c1::admets}}<br><span class=""pronoun"">il/elle</span> {{c1::admet}}","<span class=""pronoun"">nous</span> {{c2::admettons}}<br><span class=""pronoun"">vous</span> {{c2::admettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::admettent}}",-ettre,Comme mettre. J'admets que...
peindre,красить,"<span class=""pronoun"">je</span> {{c1::peins}}<br><span class=""pronoun"">tu</span> {{c1::peins}}<br><span class=""pronoun"">il/elle</span> {{c1::peint}}","<span class=""pronoun"">nous</span> {{c2::peignons}}<br><span class=""pronoun"">vous</span> {{c2::peignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::peignent}}",-eindre,gn au pluriel.
convenir,подходить,"<span class=""pronoun"">je</span> {{c1::conviens}}<br><span class=""pronoun"">tu</span> {{c1::conviens}}<br><span class=""pronoun"">il/elle</span> {{c1::convient}}","<span class=""pronoun"">nous</span> {{c2::convenons}}<br><span class=""pronoun"">vous</span> {{c2::convenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::conviennent}}",-enir,Comme venir. Ça me convient.
convaincre,убеждать,"<span class=""pronoun"">je</span> {{c1::convaincs}}<br><span class=""pronoun"">tu</span> {{c1::convaincs}}<br><span class=""pronoun"">il/elle</span> {{c1::convainc}}","<span class=""pronoun"">nous</span> {{c2::convainquons}}<br><span class=""pronoun"">vous</span> {{c2::convainquez}}<br><span class=""pronoun"">ils/elles</span> {{c2::convainquent}}",-aincre,qu au pluriel. Convaincre qqn de.
refaire,переделывать,"<span class=""pronoun"">je</span> {{c1::refais}}<br><span class=""pronoun"">tu</span> {{c1::refais}}<br><span class=""pronoun"">il/elle</span> {{c1::refait}}","<span class=""pronoun"">nous</span> {{c2::refaisons}}<br><span class=""pronoun"">vous</span> {{c2::refaites}}<br><span class=""pronoun"">ils/elles</span> {{c2::refont}}",très irrégulier,Comme faire.
dépendre,зависеть,"<span class=""pronoun"">je</span> {{c1::dépends}}<br><span class=""pronoun"">tu</span> {{c1::dépends}}<br><span class=""pronoun"">il/elle</span> {{c1::dépend}}","<span class=""pronoun"">nous</span> {{c2::dépendons}}<br><span class=""pronoun"">vous</span> {{c2::dépendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dépendent}}",-endre régulier,Ça dépend.
survivre,выживать,"<span class=""pronoun"">je</span> {{c1::survis}}<br><span class=""pronoun"">tu</span> {{c1::survis}}<br><span class=""pronoun"">il/elle</span> {{c1::survit}}","<span class=""pronoun"">nous</span> {{c2::survivons}}<br><span class=""pronoun"">vous</span> {{c2::survivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::survivent}}",-ivre,Comme vivre.
pendre,вешать,"<span class=""pronoun"">je</span> {{c1::pends}}<br><span class=""pronoun"">tu</span> {{c1::pends}}<br><span class=""pronoun"">il/elle</span> {{c1::pend}}","<span class=""pronoun"">nous</span> {{c2::pendons}}<br><span class=""pronoun"">vous</span> {{c2::pendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::pendent}}",-endre régulier,Suspendre aussi.
prétendre,утверждать,"<span class=""pronoun"">je</span> {{c1::prétends}}<br><span class=""pronoun"">tu</span> {{c1::prétends}}<br><span class=""pronoun"">il/elle</span> {{c1::prétend}}","<span class=""pronoun"">nous</span> {{c2::prétendons}}<br><span class=""pronoun"">vous</span> {{c2::prétendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::prétendent}}",-endre régulier,Il prétend que...
haïr,ненавидеть,"<span class=""pronoun"">je</span> {{c1::hais}}<br><span class=""pronoun"">tu</span> {{c1::hais}}<br><span class=""pronoun"">il/elle</span> {{c1::hait}}","<span class=""pronoun"">nous</span> {{c2::haïssons}}<br><span class=""pronoun"">vous</span> {{c2::haïssez}}<br><span class=""pronoun"">ils/elles</span> {{c2::haïssent}}",unique,Tréma partout sauf sing présent. Je te hais!
abattre,сбивать,"<span class=""pronoun"">j'</span>{{c1::abats}}<br><span class=""pronoun"">tu</span> {{c1::abats}}<br><span class=""pronoun"">il/elle</span> {{c1::abat}}","<span class=""pronoun"">nous</span> {{c2::abattons}}<br><span class=""pronoun"">vous</span> {{c2::abattez}}<br><span class=""pronoun"">ils/elles</span> {{c2::abattent}}",-attre,Comme battre. S'abattre sur.
mordre,кусать,"<span class=""pronoun"">je</span> {{c1::mords}}<br><span class=""pronoun"">tu</span> {{c1::mords}}<br><span class=""pronoun"">il/elle</span> {{c1::mord}}","<span class=""pronoun"">nous</span> {{c2::mordons}}<br><span class=""pronoun"">vous</span> {{c2::mordez}}<br><span class=""pronoun"">ils/elles</span> {{c2::mordent}}",-ordre,Le chien mord.
rompre,разрывать,"<span class=""pronoun"">je</span> {{c1::romps}}<br><span class=""pronoun"">tu</span> {{c1::romps}}<br><span class=""pronoun"">il/elle</span> {{c1::rompt}}","<span class=""pronoun"">nous</span> {{c2::rompons}}<br><span class=""pronoun"">vous</span> {{c2::rompez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rompent}}",-ompre,Attention: il rompt (avec t). Rompre avec qqn.
soutenir,поддерживать,"<span class=""pronoun"">je</span> {{c1::soutiens}}<br><span class=""pronoun"">tu</span> {{c1::soutiens}}<br><span class=""pronoun"">il/elle</span> {{c1::soutient}}","<span class=""pronoun"">nous</span> {{c2::soutenons}}<br><span class=""pronoun"">vous</span> {{c2::soutenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::soutiennent}}",-enir,Comme tenir.
parfaire,parfaire,"<span class=""pronoun"">je</span> {{c1::parfais}}<br><span class=""pronoun"">tu</span> {{c1::parfais}}<br><span class=""pronoun"">il/elle</span> {{c1::parfait}}","<span class=""pronoun"">nous</span> {{c2::parfaisons}}<br><span class=""pronoun"">vous</span> {{c2::parfaites}}<br><span class=""pronoun"">ils/elles</span> {{c2::parfont}}",très irrégulier,Comme faire. Parfaire son français.
faillir,чуть не,"<span class=""pronoun"">je</span> {{c1::faillis}}<br><span class=""pronoun"">tu</span> {{c1::faillis}}<br><span class=""pronoun"">il/elle</span> {{c1::faillit}}","<span class=""pronoun"">nous</span> {{c2::faillissons}}<br><span class=""pronoun"">vous</span> {{c2::faillissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::faillissent}}",défectif,Surtout au passé: j'ai failli tomber.
commettre,совершать,"<span class=""pronoun"">je</span> {{c1::commets}}<br><span class=""pronoun"">tu</span> {{c1::commets}}<br><span class=""pronoun"">il/elle</span> {{c1::commet}}","<span class=""pronoun"">nous</span> {{c2::commettons}}<br><span class=""pronoun"">vous</span> {{c2::commettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::commettent}}",-ettre,Comme mettre. Commettre une erreur.
interrompre,прерывать,"<span class=""pronoun"">j'</span>{{c1::interromps}}<br><span class=""pronoun"">tu</span> {{c1::interromps}}<br><span class=""pronoun"">il/elle</span> {{c1::interrompt}}","<span class=""pronoun"">nous</span> {{c2::interrompons}}<br><span class=""pronoun"">vous</span> {{c2::interrompez}}<br><span class=""pronoun"">ils/elles</span> {{c2::interrompent}}",-ompre,Comme rompre.
contenir,содержать,"<span class=""pronoun"">je</span> {{c1::contiens}}<br><span class=""pronoun"">tu</span> {{c1::contiens}}<br><span class=""pronoun"">il/elle</span> {{c1::contient}}","<span class=""pronoun"">nous</span> {{c2::contenons}}<br><span class=""pronoun"">vous</span> {{c2::contenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::contiennent}}",-enir,Comme tenir.
accueillir,принимать (гостей),"<span class=""pronoun"">j'</span>{{c1::accueille}}<br><span class=""pronoun"">tu</span> {{c1::accueilles}}<br><span class=""pronoun"">il/elle</span> {{c1::accueille}}","<span class=""pronoun"">nous</span> {{c2::accueillons}}<br><span class=""pronoun"">vous</span> {{c2::accueillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::accueillent}}",-illir (comme -er),Comme cueillir. Bienvenue!
joindre,соединять,"<span class=""pronoun"">je</span> {{c1::joins}}<br><span class=""pronoun"">tu</span> {{c1::joins}}<br><span class=""pronoun"">il/elle</span> {{c1::joint}}","<span class=""pronoun"">nous</span> {{c2::joignons}}<br><span class=""pronoun"">vous</span> {{c2::joignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::joignent}}",-oindre,gn au pluriel. Joindre qqn = contacter.
combattre,сражаться,"<span class=""pronoun"">je</span> {{c1::combats}}<br><span class=""pronoun"">tu</span> {{c1::combats}}<br><span class=""pronoun"">il/elle</span> {{c1::combat}}","<span class=""pronoun"">nous</span> {{c2::combattons}}<br><span class=""pronoun"">vous</span> {{c2::combattez}}<br><span class=""pronoun"">ils/elles</span> {{c2::combattent}}",-attre,Comme battre.
résoudre,решать (проблему),"<span class=""pronoun"">je</span> {{c1::résous}}<br><span class=""pronoun"">tu</span> {{c1::résous}}<br><span class=""pronoun"">il/elle</span> {{c1::résout}}","<span class=""pronoun"">nous</span> {{c2::résolvons}}<br><span class=""pronoun"">vous</span> {{c2::résolvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::résolvent}}",-oudre,"Attention: résou- (sing), résolv- (plur)."
conclure,заключать,"<span class=""pronoun"">je</span> {{c1::conclus}}<br><span class=""pronoun"">tu</span> {{c1::conclus}}<br><span class=""pronoun"">il/elle</span> {{c1::conclut}}","<span class=""pronoun"">nous</span> {{c2::concluons}}<br><span class=""pronoun"">vous</span> {{c2::concluez}}<br><span class=""pronoun"">ils/elles</span> {{c2::concluent}}",-clure,"Aussi: exclure, inclure."
réduire,сокращать,"<span class=""pronoun"">je</span> {{c1::réduis}}<br><span class=""pronoun"">tu</span> {{c1::réduis}}<br><span class=""pronoun"">il/elle</span> {{c1::réduit}}","<span class=""pronoun"">nous</span> {{c2::réduisons}}<br><span class=""pronoun"">vous</span> {{c2::réduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::réduisent}}",-uire,Comme conduire.
détendre,расслаблять,"<span class=""pronoun"">je</span> {{c1::détends}}<br><span class=""pronoun"">tu</span> {{c1::détends}}<br><span class=""pronoun"">il/elle</span> {{c1::détend}}","<span class=""pronoun"">nous</span> {{c2::détendons}}<br><span class=""pronoun"">vous</span> {{c2::détendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::détendent}}",-endre régulier,Se détendre.
recouvrir,покрывать снова,"<span class=""pronoun"">je</span> {{c1::recouvre}}<br><span class=""pronoun"">tu</span> {{c1::recouvres}}<br><span class=""pronoun"">il/elle</span> {{c1::recouvre}}","<span class=""pronoun"">nous</span> {{c2::recouvrons}}<br><span class=""pronoun"">vous</span> {{c2::recouvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::recouvrent}}",-vrir (comme -er),Comme ouvrir.
parcourir,пробегать,"<span class=""pronoun"">je</span> {{c1::parcours}}<br><span class=""pronoun"">tu</span> {{c1::parcours}}<br><span class=""pronoun"">il/elle</span> {{c1::parcourt}}","<span class=""pronoun"">nous</span> {{c2::parcourons}}<br><span class=""pronoun"">vous</span> {{c2::parcourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::parcourent}}",-ourir,Comme courir.
décrire,описывать,"<span class=""pronoun"">je</span> {{c1::décris}}<br><span class=""pronoun"">tu</span> {{c1::décris}}<br><span class=""pronoun"">il/elle</span> {{c1::décrit}}","<span class=""pronoun"">nous</span> {{c2::décrivons}}<br><span class=""pronoun"">vous</span> {{c2::décrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::décrivent}}",-ire,Comme écrire.
inscrire,записывать,"<span class=""pronoun"">j'</span>{{c1::inscris}}<br><span class=""pronoun"">tu</span> {{c1::inscris}}<br><span class=""pronoun"">il/elle</span> {{c1::inscrit}}","<span class=""pronoun"">nous</span> {{c2::inscrivons}}<br><span class=""pronoun"">vous</span> {{c2::inscrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::inscrivent}}",-ire,Comme écrire. S'inscrire.
confondre,путать,"<span class=""pronoun"">je</span> {{c1::confonds}}<br><span class=""pronoun"">tu</span> {{c1::confonds}}<br><span class=""pronoun"">il/elle</span> {{c1::confond}}","<span class=""pronoun"">nous</span> {{c2::confondons}}<br><span class=""pronoun"">vous</span> {{c2::confondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::confondent}}",-ondre,Confondre A avec B.
satisfaire,удовлетворять,"<span class=""pronoun"">je</span> {{c1::satisfais}}<br><span class=""pronoun"">tu</span> {{c1::satisfais}}<br><span class=""pronoun"">il/elle</span> {{c1::satisfait}}","<span class=""pronoun"">nous</span> {{c2::satisfaisons}}<br><span class=""pronoun"">vous</span> {{c2::satisfaites}}<br><span class=""pronoun"">ils/elles</span> {{c2::satisfont}}",très irrégulier,Comme faire.
vêtir,одевать,"<span class=""pronoun"">je</span> {{c1::vêts}}<br><span class=""pronoun"">tu</span> {{c1::vêts}}<br><span class=""pronoun"">il/elle</span> {{c1::vêt}}","<span class=""pronoun"">nous</span> {{c2::vêtons}}<br><span class=""pronoun"">vous</span> {{c2::vêtez}}<br><span class=""pronoun"">ils/elles</span> {{c2::vêtent}}",défectif,"Peu utilisé. Se vêtir, dévêtir, revêtir."
répandre,распространять,"<span class=""pronoun"">je</span> {{c1::répands}}<br><span class=""pronoun"">tu</span> {{c1::répands}}<br><span class=""pronoun"">il/elle</span> {{c1::répand}}","<span class=""pronoun"">nous</span> {{c2::répandons}}<br><span class=""pronoun"">vous</span> {{c2::répandez}}<br><span class=""pronoun"">ils/elles</span> {{c2::répandent}}",-endre régulier,Se répandre.
décevoir,разочаровывать,"<span class=""pronoun"">je</span> {{c1::déçois}}<br><span class=""pronoun"">tu</span> {{c1::déçois}}<br><span class=""pronoun"">il/elle</span> {{c1::déçoit}}","<span class=""pronoun"">nous</span> {{c2::décevons}}<br><span class=""pronoun"">vous</span> {{c2::décevez}}<br><span class=""pronoun"">ils/elles</span> {{c2::déçoivent}}",-cevoir,Comme recevoir. Tu me déçois.
intervenir,вмешиваться,"<span class=""pronoun"">j'</span>{{c1::interviens}}<br><span class=""pronoun"">tu</span> {{c1::interviens}}<br><span class=""pronoun"">il/elle</span> {{c1::intervient}}","<span class=""pronoun"">nous</span> {{c2::intervenons}}<br><span class=""pronoun"">vous</span> {{c2::intervenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::interviennent}}",-enir,Comme venir.
