French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
frimasser,покрываться инеем,v,Les vitres <b>frimassent</b> par ce froid.,Стёкла <b>покрываются инеем</b> от этого холода.,Hiver québécois. Groupe 1 (-er).,❄️,quebecismes
un fudge,фадж (помадка),m,Elle a fait du <b>fudge</b> au chocolat pour la fête.,Она сделала шоколадный <b>фадж</b> на праздник.,Confiserie anglophone populaire au Québec.,🍫,quebecismes
un gadelier,смородина (куст),m,Le <b>gadelier</b> produit des fruits rouges.,Куст <b>смородины</b> даёт красные ягоды.,Aussi: gadellier. France: groseillier.,🍒,quebecismes
une gadelle,смородина (ягода),f,On cueille des <b>gadelles</b> dans le jardin.,Мы собираем <b>смородину</b> в саду.,France: groseille. Courant au Québec.,🍒,quebecismes
une garnotte,гравий,f,La cour est couverte de <b>garnotte</b>.,Двор покрыт <b>гравием</b>.,France: gravier. Courant.,🪨,quebecismes
garrocher,бросать,v,<b>Garroche</b>-moi la balle !,<b>Брось</b> мне мяч!,Familier. France: lancer / jeter. Groupe 1 (-er).,⚾,quebecismes
un gaspareau,алоза,m,Les <b>gaspareaux</b> remontent la rivière au printemps.,<b>Алозы</b> поднимаются вверх по реке весной.,Petit poisson marin. Région atlantique.,🐟,quebecismes
glaciel; glacielle,относящийся к плавучим льдам,adj,Les conditions <b>glacielles</b> sont dangereuses pour les bateaux.,<b>Ледовые</b> условия опасны для судов.,Terme maritime. Golfe du Saint-Laurent.,🧊,quebecismes
un godendart,двуручная пила,m,Les bûcherons utilisaient le <b>godendart</b> autrefois.,Раньше лесорубы использовали <b>двуручную пилу</b>.,Outil traditionnel. Histoire forestière.,🪚,quebecismes
un gorgoton,глотка,m,J'ai mal au <b>gorgoton</b> ce matin.,У меня болит <b>глотка</b> этим утром.,Familier. France: gosier / gorge.,🗣️,quebecismes
gosser,строгать ножом,v,Il aime <b>gosser</b> du bois sur le balcon.,Он любит <b>строгать</b> дерево на балконе.,Aussi: bricoler / perdre son temps. Groupe 1 (-er).,🔪,quebecismes
une grignotine,снэки,f,On a acheté des <b>grignotines</b> pour le match.,Мы купили <b>снэки</b> на матч.,France: amuse-gueules / chips. Pluriel courant.,🍿,quebecismes
un gripette,капризный ребёнок,m,Ce petit <b>gripette</b> n'arrête pas de pleurer.,Этот маленький <b>капризуля</b> не перестаёт плакать.,Familier. France: enfant coléreux.,😢,quebecismes
une guidoune,проститутка,f,Il y a des <b>guidounes</b> dans ce quartier.,В этом районе есть <b>проститутки</b>.,⚠️ Vulgaire. À éviter dans un contexte formel.,⚠️,quebecismes
une guignolée,рождественский сбор пожертвований,f,La <b>guignolée</b> aide les familles dans le besoin.,<b>Рождественский сбор</b> помогает нуждающимся семьям.,Tradition québécoise. Décembre. Charité.,🎄,quebecismes
une guédille,хот-дог с салатом,f,J'ai mangé une <b>guédille</b> au homard en Gaspésie.,Я ел <b>хот-дог с лобстером</b> в Гаспези.,Pain à hotdog + salade ou fruits de mer. Spécialité locale.,🌭,quebecismes
une infolettre,рассылка,f,Abonne-toi à notre <b>infolettre</b> pour les nouvelles.,Подпишись на нашу <b>рассылку</b> для новостей.,Terme OQLF. France: newsletter.,📧,quebecismes
une inhalothérapie,ингаляционная терапия,f,Elle étudie l'<b>inhalothérapie</b> au cégep.,Она изучает <b>ингаляционную терапию</b> в колледже.,Profession paramédicale. Système respiratoire.,💨,quebecismes
initialer,парафировать,v,<b>Initialez</b> chaque page du contrat.,<b>Парафируйте</b> каждую страницу контракта.,France: parapher. De initiales. Groupe 1 (-er).,✍️,quebecismes
un intrant,входные данные,m,Les <b>intrants</b> du système sont vérifiés.,<b>Входные данные</b> системы проверяются.,Informatique. Terme OQLF. France: input / données d'entrée.,📥,quebecismes
une jarnigoine,смекалка,f,Il a de la <b>jarnigoine</b> ce petit !,У этого малыша есть <b>смекалка</b>!,Familier. France: intelligence / jugeote.,🧠,quebecismes
jasant; jasante,болтливый,adj,Ma voisine est très <b>jasante</b>.,Моя соседка очень <b>болтливая</b>.,De jaser = bavarder. France: bavard.,💬,quebecismes
une jasette,болтовня,f,On a eu une bonne <b>jasette</b> autour d'un café.,Мы хорошо <b>поболтали</b> за кофе.,Familier. Faire la jasette = bavarder. Très courant.,☕,quebecismes
le joual,жуаль (квебекский диалект),m,Mon grand-père parle <b>joual</b>.,Мой дедушка говорит на <b>жуале</b>.,Variété populaire du français québécois. De cheval.,🗣️,quebecismes
une joujouthèque,игротека,f,Les enfants adorent la <b>joujouthèque</b> du quartier.,Дети обожают <b>игротеку</b> в районе.,France: ludothèque. Emprunt de jouets.,🎮,quebecismes
un jubilaire; une jubilaire,юбиляр,m,Les <b>jubilaires</b> ont reçu leurs médailles.,<b>Юбиляры</b> получили свои медали.,Personne fêtant un anniversaire important.,🎂,quebecismes
kayakable,пригодный для каякинга,adj,Cette rivière est <b>kayakable</b> toute l'année.,Эта река <b>пригодна для каякинга</b> весь год.,Plein air. Tourisme d'aventure.,🛶,quebecismes
un lettreur; une lettreuse,художник-шрифтовик,m,Le <b>lettreur</b> a dessiné l'enseigne du magasin.,<b>Художник-шрифтовик</b> нарисовал вывеску магазина.,Métier d'art. France: graphiste spécialisé.,🎨,quebecismes
lousse,свободный (не тугой),adj,Ma ceinture est trop <b>lousse</b>.,Мой ремень слишком <b>свободный</b>.,De l'anglais loose. Familier. France: lâche.,👖,quebecismes
lyrer,ныть,v,Il <b>lyre</b> depuis ce matin au sujet de son travail.,Он <b>ноет</b> с утра по поводу работы.,Familier. Pleurnicher sur le même ton. Groupe 1 (-er).,😩,quebecismes
maganer,портить; изнашивать,v,Tu vas <b>maganer</b> tes chaussures à jouer dehors.,Ты <b>испортишь</b> ботинки играя на улице.,Très courant. France: abîmer / user. Groupe 1 (-er).,👟,quebecismes
magané; maganée,потрёпанный; уставший,adj,Je suis <b>magané</b> après cette semaine de travail.,Я <b>измотан</b> после этой рабочей недели.,Très courant. France: fatigué / abîmé.,😵,quebecismes
une marigane noire,чёрный краппи (рыба),f,On a pêché des <b>mariganes noires</b> dans le lac.,Мы наловили <b>чёрных краппи</b> в озере.,Poisson d'eau douce. Pêche sportive.,🐟,quebecismes
une microbrasserie,крафтовая пивоварня,f,Cette <b>microbrasserie</b> fait d'excellentes bières.,Эта <b>крафтовая пивоварня</b> делает отличное пиво.,Tendance populaire au Québec. France: brasserie artisanale.,🍺,quebecismes
un millage,пробег (в милях),m,Quel est le <b>millage</b> de cette voiture ?,Какой <b>пробег</b> у этой машины?,De l'anglais mileage. France: kilométrage.,🚗,quebecismes
minoucher,ласкать,v,Elle aime <b>minoucher</b> son chat le soir.,Она любит <b>ласкать</b> своего кота вечером.,Familier. De minou = chat. Groupe 1 (-er).,🐱,quebecismes
une minoune,старая машина,f,Il roule avec sa vieille <b>minoune</b>.,Он ездит на своей старой <b>развалюхе</b>.,Familier. Synonyme: bazou. Aussi: chatte (affectueux).,🚙,quebecismes
une mordée,укус,f,J'ai une <b>mordée</b> de maringouin sur le bras.,У меня <b>укус</b> комара на руке.,France: morsure / piqûre.,🦟,quebecismes
une motomarine,гидроцикл,f,On a loué une <b>motomarine</b> pour l'après-midi.,Мы арендовали <b>гидроцикл</b> на день.,Terme OQLF. France: jet-ski / scooter des mers.,🚤,quebecismes
un motton,комок,m,Il y a des <b>mottons</b> dans la sauce.,В соусе <b>комки</b>.,Familier. France: grumeau.,🥣,quebecismes
une MRC,региональный муниципалитет,f,Notre village fait partie de la <b>MRC</b> de Portneuf.,Наша деревня входит в <b>региональный муниципалитет</b> Портнёф.,Municipalité régionale de comté. Administration québécoise.,🗺️,quebecismes
mémérer,сплетничать,v,Les voisines aiment <b>mémérer</b> sur la clôture.,Соседки любят <b>сплетничать</b> у забора.,Familier. De mémère = commère. Groupe 1 (-er).,🗣️,quebecismes
mésadapté; mésadaptée,дезадаптированный,adj,Ce programme aide les jeunes <b>mésadaptés</b>.,Эта программа помогает <b>дезадаптированным</b> молодым людям.,Terme social/éducatif. France: inadapté.,👤,quebecismes
un nanane,конфетка,m,Tu veux un <b>nanane</b> mon petit ?,Хочешь <b>конфетку</b> малыш?,Langage enfantin. Aussi: nananne. France: bonbon.,🍬,quebecismes
un niaisage,бездельничанье,m,Assez de <b>niaisage</b> mets-toi au travail !,Хватит <b>бездельничать</b> — берись за работу!,Familier. Perte de temps. Très courant.,😴,quebecismes
niaiser,дразнить; валять дурака,v,Arrête de me <b>niaiser</b> !,Хватит меня <b>дразнить</b>!,Très courant. Aussi: perdre son temps. Groupe 1 (-er).,🤪,quebecismes
niaiseux; niaiseuse,глупый; дурак,adj,C'est <b>niaiseux</b> comme idée.,Это <b>глупая</b> идея.,Très courant! Familier. France: idiot / bête.,🤦,quebecismes
une nordicité,северность,f,La <b>nordicité</b> définit l'identité du Québec.,<b>Северность</b> определяет идентичность Квебека.,Terme géographique. Concept de Louis-Edmond Hamelin.,❄️,quebecismes
un oka,сыр Ока,m,Ce <b>oka</b> est fabriqué par les moines.,Этот <b>сыр Ока</b> делают монахи.,Fromage québécois célèbre. Abbaye d'Oka.,🧀,quebecismes
parlable,контактный (о человеке),adj,Mon patron n'est pas <b>parlable</b> ce matin.,Мой босс <b>не в духе</b> этим утром.,Familier. D'un abord facile. France: abordable.,💬,quebecismes
patenter,мастерить,v,Il a <b>patenté</b> une solution avec du ruban adhésif.,Он <b>смастерил</b> решение с помощью скотча.,Familier. Bricoler de façon ingénieuse. Groupe 1 (-er).,🔧,quebecismes
patenteux; patenteuse,умелец,adj,Mon voisin est un vrai <b>patenteux</b>.,Мой сосед — настоящий <b>умелец</b>.,Bricoleur ingénieux. Compliment!,🛠️,quebecismes
un patroneux; une patroneuse,покровитель (полит.),m,Les <b>patroneux</b> distribuent des faveurs.,<b>Покровители</b> раздают услуги.,Péjoratif. Politique clientéliste.,🏛️,quebecismes
un pembina,калина,m,On fait de la gelée avec les <b>pembinas</b>.,Из <b>калины</b> делают желе.,Aussi: pimbina. Baie indigène. D'origine amérindienne.,🔴,quebecismes
une perchaude,жёлтый окунь,f,On a pêché des <b>perchaudes</b> ce matin.,Мы наловили <b>окуней</b> этим утром.,Poisson d'eau douce populaire. Pêche sportive.,🐟,quebecismes
un physiatre; une physiatre,физиатр,m,Le <b>physiatre</b> m'a prescrit de la physiothérapie.,<b>Физиатр</b> прописал мне физиотерапию.,Médecin spécialisé. France: médecin rééducateur.,👨‍⚕️,quebecismes
une physiatrie,физиатрия,f,Il se spécialise en <b>physiatrie</b>.,Он специализируется в <b>физиатрии</b>.,Médecine de réadaptation. Terme OQLF.,🏥,quebecismes
une piastre,доллар,f,Ça coûte cinq <b>piastres</b>.,Это стоит пять <b>долларов</b>.,Familier. Très courant! Historique: pièce espagnole.,💵,quebecismes
une pichenotte,щелчок,f,Il m'a donné une <b>pichenotte</b> sur l'oreille.,Он дал мне <b>щелбан</b> по уху.,France: pichenette. Aussi: jeu de table.,👆,quebecismes
un pichou,мокасин,m,Les <b>pichous</b> sont confortables en hiver.,<b>Мокасины</b> удобны зимой.,Chaussure traditionnelle amérindienne.,👟,quebecismes
picosser,клевать,v,Les poules <b>picossent</b> le grain.,Куры <b>клюют</b> зерно.,Familier. France: picorer. Groupe 1 (-er).,🐔,quebecismes
une picouille,кляча,f,Cette vieille <b>picouille</b> ne peut plus travailler.,Эта старая <b>кляча</b> больше не может работать.,Familier. France: haridelle. Cheval maigre.,🐴,quebecismes
une pinotte,арахис,f,J'ai acheté un sac de <b>pinottes</b>.,Я купил пакет <b>арахиса</b>.,Familier. De l'anglais peanut. Très courant.,🥜,quebecismes
une piquerie,притон,f,La police a fermé une <b>piquerie</b> dans le quartier.,Полиция закрыла <b>притон</b> в районе.,Lieu où on se drogue. Argot.,💉,quebecismes
pitonner,переключать каналы,v,Arrête de <b>pitonner</b> et choisis une émission !,Хватит <b>щёлкать каналы</b> — выбери программу!,Familier. De piton = bouton. Groupe 1 (-er).,📺,quebecismes
un pitou,собачка; милый,m,Viens ici mon <b>pitou</b> !,Иди сюда мой <b>милый</b>!,Familier. Chien ou terme affectueux pour un enfant.,🐕,quebecismes
placoter,болтать,v,On a <b>placoté</b> pendant des heures.,Мы <b>болтали</b> часами.,Familier. France: bavarder. Groupe 1 (-er).,💬,quebecismes
un plugiciel,плагин,m,Installe ce <b>plugiciel</b> pour ouvrir le fichier.,Установи этот <b>плагин</b> чтобы открыть файл.,Terme OQLF. France: plugin / module d'extension.,🔌,quebecismes
un podiatre; une podiatre,подиатр,m,Le <b>podiatre</b> soigne mes ongles incarnés.,<b>Подиатр</b> лечит мои вросшие ногти.,Spécialiste des pieds. France: pédicure-podologue.,🦶,quebecismes
une podiatrie,подиатрия,f,Elle étudie la <b>podiatrie</b> à l'université.,Она изучает <b>подиатрию</b> в университете.,Médecine des pieds. Terme OQLF.,🏥,quebecismes
podiatrique,подиатрический,adj,Ce cabinet offre des soins <b>podiatriques</b>.,Этот кабинет предлагает <b>подиатрические</b> услуги.,Relatif à la podiatrie.,🦶,quebecismes
pogner,хватать,v,<b>Pogne</b> la balle !,<b>Лови</b> мяч!,Très courant! Familier. Aussi: avoir du succès. Groupe 1 (-er).,✊,quebecismes
une polyvalente,общеобразовательная школа,f,J'ai étudié à la <b>polyvalente</b> du quartier.,Я учился в <b>общеобразовательной школе</b> района.,École secondaire publique québécoise. Système éducatif.,🏫,quebecismes
poquer,бить (оставлять синяки),v,Il s'est <b>poqué</b> le genou en tombant.,Он <b>ушиб</b> колено при падении.,Familier. France: meurtrir. Groupe 1 (-er).,🤕,quebecismes
portager,переносить лодку (волок),v,Il faut <b>portager</b> sur deux kilomètres.,Нужно <b>перенести лодку</b> на два километра.,Canot-camping. Tradition voyageur. Groupe 1 (-er).,🛶,quebecismes
un poulamon,атлантический томкод,m,On pêche le <b>poulamon</b> à Sainte-Anne-de-la-Pérade.,<b>Пуламона</b> ловят в Сент-Анн-де-ла-Перад.,Petit poisson des chenaux. Pêche hivernale traditionnelle.,🐟,quebecismes
une pourvoirie,охотничье-рыболовная база,f,On va à la <b>pourvoirie</b> pour la chasse à l'orignal.,Мы едем на <b>охотничью базу</b> за лосем.,Tourisme de chasse et pêche. Très québécois.,🏕️,quebecismes
une poutine,путин (картофель фри с сыром),f,Je vais prendre une <b>poutine</b> pour emporter.,Я возьму <b>путин</b> с собой.,Plat emblématique du Québec! Frites + fromage en grains + sauce.,🍟,quebecismes
une pépine,экскаватор,f,La <b>pépine</b> creuse les fondations.,<b>Экскаватор</b> копает фундамент.,Familier. France: pelleteuse / excavatrice.,🚜,quebecismes
péquiste,член Квебекской партии,adj,Mon oncle est <b>péquiste</b> depuis toujours.,Мой дядя всегда был <b>сторонником PQ</b>.,Parti Québécois (PQ). Politique québécoise.,🏛️,quebecismes
un quilleur; une quilleuse,игрок в боулинг,m,Les <b>quilleurs</b> se retrouvent le mardi soir.,<b>Игроки в боулинг</b> встречаются по вторникам вечером.,France: joueur de bowling. De quilles.,🎳,quebecismes
quétaine,безвкусный,adj,Cette décoration est vraiment <b>quétaine</b>.,Это украшение реально <b>безвкусное</b>.,Très courant! De mauvais goût. Kitsch.,🎀,quebecismes
une quétainerie,безвкусица,f,Cette boutique vend des <b>quétaineries</b>.,Этот магазин продаёт <b>безвкусицу</b>.,Objet de mauvais goût. De quétaine.,🗑️,quebecismes
un quêteux; une quêteuse,попрошайка,m,Un <b>quêteux</b> m'a demandé de l'argent.,<b>Попрошайка</b> попросил у меня денег.,Familier. France: mendiant.,🙏,quebecismes
un rabaska,большое каноэ,m,On fait du <b>rabaska</b> sur le lac.,Мы катаемся на <b>большом каноэ</b> по озеру.,Grand canot (10+ personnes). Activité de groupe.,🛶,quebecismes
une rabiole,репа (белая),f,Grand-mère fait une soupe aux <b>rabioles</b>.,Бабушка делает суп из <b>репы</b>.,Variété de navet blanc. Légume traditionnel.,🥕,quebecismes
raboudiner,чинить кое-как,v,Il a <b>raboudiné</b> la clôture avec du fil de fer.,Он <b>кое-как починил</b> забор проволокой.,Familier. France: rafistoler. Groupe 1 (-er).,🔨,quebecismes
un ramancheur; une ramancheuse,костоправ,m,Le <b>ramancheur</b> a remis son épaule en place.,<b>Костоправ</b> вправил ему плечо.,France: rebouteux. Guérisseur traditionnel.,💆,quebecismes
rapailler,собирать (разбросанное),v,<b>Rapaille</b> tes affaires avant de partir !,<b>Собери</b> свои вещи перед уходом!,Familier. France: rassembler. Groupe 1 (-er).,📦,quebecismes
se raplomber,восстанавливать равновесие,v,Après sa maladie elle s'est <b>raplombée</b>.,После болезни она <b>восстановилась</b>.,Familier. Retrouver son équilibre. Groupe 1 (-er).,⚖️,quebecismes
un recherchiste; une recherchiste,исследователь (на ТВ),m,Le <b>recherchiste</b> prépare le contenu de l'émission.,<b>Исследователь</b> готовит содержание передачи.,Métier des médias. France: documentaliste.,🔍,quebecismes
un reculon,заусенец,m,J'ai un <b>reculon</b> douloureux sur le doigt.,У меня болезненный <b>заусенец</b> на пальце.,France: envie (peau). Familier.,💅,quebecismes
un registraire; une registraire,регистратор,m,Le <b>registraire</b> gère les inscriptions des étudiants.,<b>Регистратор</b> управляет записью студентов.,Administration universitaire. Terme OQLF.,📋,quebecismes
un relationniste; une relationniste,специалист по связям с общественностью,m,Le <b>relationniste</b> prépare le communiqué de presse.,<b>Специалист по PR</b> готовит пресс-релиз.,France: attaché de presse / chargé de relations publiques.,📢,quebecismes
un rembourreur; une rembourreuse,обивщик мебели,m,Le <b>rembourreur</b> a refait notre vieux canapé.,<b>Обивщик</b> обновил наш старый диван.,Métier artisanal. France: tapissier.,🛋️,quebecismes
renforcir,укреплять,v,Il faut <b>renforcir</b> la structure du toit.,Нужно <b>укрепить</b> структуру крыши.,Familier. France: renforcer. Groupe 2 (-ir).,💪,quebecismes
renipper,обновлять,v,On va <b>renipper</b> la cuisine cet été.,Мы <b>обновим</b> кухню этим летом.,Familier. France: rénover / embellir. Groupe 1 (-er).,🏠,quebecismes
retiger,давать новые побеги,v,Les tulipes <b>retigent</b> chaque printemps.,Тюльпаны <b>дают новые побеги</b> каждую весну.,Jardinage. Groupe 1 (-er).,🌱,quebecismes
retontir,появляться снова,v,Il a <b>retonti</b> sans prévenir.,Он <b>снова появился</b> без предупреждения.,Familier. France: réapparaître. Groupe 2 (-ir).,👋,quebecismes
revirer,переворачивать,v,<b>Revire</b> les crêpes dans la poêle.,<b>Переверни</b> блины на сковороде.,Familier. France: retourner. Groupe 1 (-er).,🥞,quebecismes
une robine,денатурат,f,Les itinérants boivent parfois de la <b>robine</b>.,Бездомные иногда пьют <b>денатурат</b>.,Alcool dénaturé. Argot. Dangereux!,🍶,quebecismes
un robineux,бомж-алкоголик,m,Il y a des <b>robineux</b> sous le pont.,Под мостом есть <b>бомжи-алкоголики</b>.,Familier. Clochard qui boit de la robine.,🧔,quebecismes
une ruelle,переулок,f,Les enfants jouent dans la <b>ruelle</b> derrière la maison.,Дети играют в <b>переулке</b> за домом.,Au Québec: passage entre deux rangées de maisons. Vie de quartier.,🏘️,quebecismes
une région administrative,административный регион,f,Montréal est une <b>région administrative</b>.,Монреаль — <b>административный регион</b>.,Division territoriale québécoise. 17 régions.,📍,quebecismes
un réusinage,рефакторинг,m,Le <b>réusinage</b> du code a pris deux semaines.,<b>Рефакторинг</b> кода занял две недели.,Informatique. Terme OQLF. France: refactoring.,💻,quebecismes
un sacre,ругательство (религ.),m,Il a lâché un <b>sacre</b> en se cognant le pied.,"Он выругался, ударившись ногой.",Juron d'origine religieuse (tabarnak câlice etc.). Très québécois!,🤬,quebecismes
une saucette,быстрое купание,f,On va faire une <b>saucette</b> dans le lac.,Мы пойдём <b>быстро окунуться</b> в озере.,Familier. France: trempette / baignade rapide.,🏊,quebecismes
une session,сессия,f,La <b>session</b> d'automne commence en septembre.,Осенняя <b>сессия</b> начинается в сентябре.,Au Québec: semestre universitaire. France: période d'examens.,📚,quebecismes
un siffleux,сурок,m,Le <b>siffleux</b> sort de son terrier au printemps.,<b>Сурок</b> выходит из норы весной.,France: marmotte. Animal emblématique. Jour de la marmotte!,🦫,quebecismes
un solage,фундамент,m,Le <b>solage</b> de la maison a besoin de réparations.,<b>Фундамент</b> дома нуждается в ремонте.,France: fondations. Construction.,🏗️,quebecismes
songé; songée,продуманный; умный,adj,C'est une réponse <b>songée</b>.,Это <b>продуманный</b> ответ.,Familier. France: réfléchi / bien pensé.,🤔,quebecismes
une soupane,овсяная каша,f,Grand-mère nous faisait de la <b>soupane</b> le matin.,Бабушка делала нам <b>овсянку</b> по утрам.,Traditionnel. France: bouillie d'avoine / porridge.,🥣,quebecismes
un sparage,кривляние,m,Arrête ton <b>sparage</b> tu es ridicule !,Хватит <b>кривляться</b> — ты смешон!,Familier. Gesticulation ridicule.,🤡,quebecismes
séraphin,скряга,adj,Mon oncle est <b>séraphin</b> avec son argent.,Мой дядя <b>скряга</b> со своими деньгами.,Du personnage Séraphin Poudrier. Roman/série TV québécoise.,💰,quebecismes
tapocher,бить,v,Ne <b>tapoche</b> pas ton frère !,Не <b>бей</b> своего брата!,Familier. France: frapper. Groupe 1 (-er).,👊,quebecismes
taponner,мять,v,Il <b>taponne</b> son chapeau nerveusement.,Он нервно <b>мнёт</b> свою шляпу.,Familier. Manipuler nerveusement. Groupe 1 (-er).,🎩,quebecismes
tataouiner,мешкать,v,Arrête de <b>tataouiner</b> et décide-toi !,Хватит <b>мешкать</b> — решайся!,Familier. France: tergiverser. Groupe 1 (-er).,⏳,quebecismes
une tire,тянучка (конфета),f,On fait de la <b>tire</b> sur la neige au temps des sucres.,Мы делаем <b>тянучку</b> на снегу в сезон сахара.,Tire d'érable sur neige. Tradition du temps des sucres!,🍁,quebecismes
tocson; tocsonne,упрямец,adj,Il est <b>tocson</b> comme une mule.,Он <b>упрямый</b> как осёл.,Familier. France: têtu / buté.,🫏,quebecismes
un touladi,озёрная форель,m,On a pêché un beau <b>touladi</b> de dix livres.,Мы поймали красивую <b>озёрную форель</b> на десять фунтов.,Grande truite des lacs. Pêche sportive.,🐟,quebecismes
un toutou,плюшевая игрушка,m,L'enfant dort avec son <b>toutou</b>.,Ребёнок спит со своей <b>плюшевой игрушкой</b>.,Familier. France: peluche / doudou.,🧸,quebecismes
un trappage,охота с капканами,m,Le <b>trappage</b> est réglementé au Québec.,<b>Охота с капканами</b> регулируется в Квебеке.,Piégeage d'animaux à fourrure. Tradition.,🪤,quebecismes
un traversier,паром,m,On prend le <b>traversier</b> pour aller à Lévis.,Мы едем на <b>пароме</b> в Леви.,Très courant! France: ferry / bac.,⛴️,quebecismes
une traînerie,разбросанные вещи,f,Ramasse tes <b>traîneries</b> !,Собери свои <b>разбросанные вещи</b>!,Familier. Objets laissés à la traîne.,🧦,quebecismes
traîneux; traîneuse,копуша,adj,Tu es trop <b>traîneux</b> on va être en retard !,Ты слишком <b>копаешься</b> — мы опоздаем!,Familier. France: traînard / lent.,🐌,quebecismes
une trempette,соус для макания,f,J'ai fait une <b>trempette</b> aux épinards.,Я сделал <b>соус</b> со шпинатом для макания.,Sauce pour crudités. France: dip.,🥒,quebecismes
tricoler,шататься (акадийск.),v,Il <b>tricolait</b> après trois verres de vin.,Он <b>шатался</b> после трёх бокалов вина.,Acadien. France: tituber. Groupe 1 (-er).,🍷,quebecismes
turluter,напевать,v,Grand-père aime <b>turluter</b> des chansons folkloriques.,Дедушка любит <b>напевать</b> народные песни.,Chant traditionnel québécois. Vocalises sans paroles.,🎵,quebecismes
un téléavertisseur,пейджер,m,Dans les années 90 tout le monde avait un <b>téléavertisseur</b>.,В 90-х у всех был <b>пейджер</b>.,Terme OQLF. France: pager / bip. Historique.,📟,quebecismes
téteux; téteuse,подлиза,adj,Il est <b>téteux</b> avec le patron.,Он <b>подлизывается</b> к начальнику.,Familier. France: lèche-bottes / flagorneur.,👅,quebecismes
un urgentologue; une urgentologue,врач скорой помощи,m,L'<b>urgentologue</b> l'a vu tout de suite.,<b>Врач скорой</b> его сразу осмотрел.,France: urgentiste. Médecin des urgences.,🏥,quebecismes
virailler,крутиться,v,Les enfants <b>viraillent</b> dans le salon.,Дети <b>крутятся</b> в гостиной.,Familier. Tourner en tous sens. Groupe 1 (-er).,🔄,quebecismes
un vivoir,гостиная,m,On se retrouve dans le <b>vivoir</b>.,Встретимся в <b>гостиной</b>.,France: salon / salle de séjour. Courant au Québec.,🛋️,quebecismes
vlimeux; vlimeuse,озорной,adj,Ce petit <b>vlimeux</b> fait des bêtises !,Этот маленький <b>озорник</b> проказничает!,Familier. France: espiègle / coquin.,😈,quebecismes
une zec,охотничья зона,f,On va chasser dans la <b>zec</b> Batiscan.,Мы едем охотиться в <b>зону</b> Батискан.,Zone d'exploitation contrôlée. Chasse et pêche.,🦌,quebecismes
zigonner,мешкать,v,Arrête de <b>zigonner</b> avec ta fourchette !,Хватит <b>ковыряться</b> вилкой!,Familier. Hésiter / manipuler. Groupe 1 (-er).,🍴,quebecismes
écartiller,растопыривать,v,Il <b>écartille</b> les yeux de surprise.,Он <b>вытаращил</b> глаза от удивления.,Familier. France: écarter / écarquiller. Groupe 1 (-er).,👀,quebecismes
écharogner,кромсать,v,Tu as <b>écharogné</b> le gâteau !,Ты <b>искромсал</b> торт!,Familier. Couper maladroitement. Groupe 1 (-er).,🔪,quebecismes
échiffer,растрёпывать,v,Le chat a <b>échiffé</b> le coussin.,Кот <b>растрепал</b> подушку.,Familier. France: effilocher. Groupe 1 (-er).,🧶,quebecismes
écourticher,укорачивать,v,Elle a <b>écourtich</b> sa jupe trop court.,Она <b>укоротила</b> юбку слишком коротко.,Familier. Couper trop court. Groupe 1 (-er).,✂️,quebecismes
écrapoutir,расплющивать,v,J'ai <b>écrapouti</b> une araignée.,Я <b>расплющил</b> паука.,Familier. France: écraser. Groupe 2 (-ir).,🕷️,quebecismes
épeurant; épeurante,страшный,adj,Ce film est <b>épeurant</b> !,Этот фильм <b>страшный</b>!,Très courant. France: effrayant. De épeurer.,😱,quebecismes
épeurer,пугать,v,N'<b>épeure</b> pas le chat !,Не <b>пугай</b> кота!,Très courant. France: effrayer. Groupe 1 (-er).,👻,quebecismes
une épinette,ель,f,Les <b>épinettes</b> sont couvertes de neige.,<b>Ели</b> покрыты снегом.,Arbre emblématique. France: épicéa. Forêt boréale.,🌲,quebecismes
s'épivarder,дурачиться,v,Les enfants s'<b>épivardent</b> dans la cour.,Дети <b>дурачатся</b> во дворе.,Familier. S'agiter / faire le fou. Groupe 1 (-er).,🤸,quebecismes
étriver,дразнить,v,Arrête d'<b>étriver</b> ta sœur !,Хватит <b>дразнить</b> сестру!,Familier. France: taquiner. Groupe 1 (-er).,😜,quebecismes
s'évacher,разваливаться,v,Il s'est <b>évaché</b> sur le sofa.,Он <b>развалился</b> на диване.,Familier. France: s'affaler / s'avachir. Groupe 1 (-er).,🛋️,quebecismes
abitibien; abitibienne,абитибийский,adj,La cuisine <b>abitibienne</b> est réconfortante.,<b>Абитибийская</b> кухня согревающая.,De l'Abitibi. Région du Nord-Ouest du Québec.,🗺️,quebecismes
acadien; acadienne,акадийский,adj,La culture <b>acadienne</b> est riche en musique.,<b>Акадийская</b> культура богата музыкой.,Peuple francophone des Maritimes. Histoire de la déportation.,🦞,quebecismes
une accise,акциз,f,L'<b>accise</b> sur l'alcool a augmenté.,<b>Акциз</b> на алкоголь вырос.,Impôt indirect. Terme fiscal.,💰,quebecismes
un achigan,чёрный окунь,m,On a pêché des <b>achigans</b> au lac.,Мы наловили <b>чёрных окуней</b> на озере.,Poisson sportif populaire. France: black-bass.,🐟,quebecismes
un acériculteur; une acéricultrice,производитель кленового сиропа,m,L'<b>acériculteur</b> récolte l'eau d'érable au printemps.,<b>Производитель сиропа</b> собирает кленовый сок весной.,Métier traditionnel québécois. Temps des sucres.,🍁,quebecismes
