French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une aventure,приключение,C'est une belle <b>aventure</b>.,Это прекрасное <b>приключение</b>.,🗺️,f
une défense,защита; оборона,C'est pour ma <b>défense</b>.,Это в мою <b>защиту</b>.,🛡️,f
un fusil,ружьё,Le chasseur porte un <b>fusil</b>.,Охотник несёт <b>ружьё</b>.,🔫,m
immobile,неподвижный,Reste <b>immobile</b>.,Стой <b>неподвижно</b>.,🧍,adj
une différence,различие,Quelle est la <b>différence</b> ?,В чём <b>разница</b>?,↔️,f
refaire,переделывать,Je dois <b>refaire</b> ce travail.,Мне нужно <b>переделать</b> эту работу.,🔄,v
une jeunesse,молодость,La <b>jeunesse</b> passe vite.,<b>Молодость</b> проходит быстро.,👶,f
un pantalon,брюки,J'ai acheté un nouveau <b>pantalon</b>.,Я купил новые <b>брюки</b>.,👖,m
un manteau,пальто,"Mets ton <b>manteau</b>, il fait froid.","Надень <b>пальто</b>, холодно.",🧥,m
une laisse,поводок,Le chien est en <b>laisse</b>.,Собака на <b>поводке</b>.,🐕,f
politique,политический,C'est une décision <b>politique</b>.,Это <b>политическое</b> решение.,🏛️,adj
balancer,качать; выбрасывать,Ne <b>balance</b> pas les bras.,Не <b>размахивай</b> руками.,🔄,v
un résultat,результат,Quel est le <b>résultat</b> ?,Каков <b>результат</b>?,📊,m
un miracle,чудо,C'est un <b>miracle</b> !,Это <b>чудо</b>!,✨,m
un événement,событие,C'est un grand <b>événement</b>.,Это большое <b>событие</b>.,🎉,m
une bombe,бомба,La <b>bombe</b> a explosé.,<b>Бомба</b> взорвалась.,💥,f
nombreux,многочисленный,Il y a de <b>nombreux</b> touristes ici.,Здесь <b>много</b> туристов.,👥,adj
"nombreux, nombreuse",многочисленный,Ils sont <b>nombreux</b>.,Их <b>много</b>.,👥,adj
menacer,угрожать,Il m'a <b>menacé</b>.,Он мне <b>угрожал</b>.,⚠️,v
dépendre,зависеть,Ça <b>dépend</b> de toi.,Это <b>зависит</b> от тебя.,🔗,v
un mensonge,ложь,C'est un <b>mensonge</b> !,Это <b>ложь</b>!,🤥,m
renoncer,отказываться,J'ai <b>renoncé</b> à ce projet.,Я <b>отказался</b> от этого проекта.,🚫,v
une attaque,атака,L'<b>attaque</b> a été repoussée.,<b>Атака</b> была отбита.,⚔️,f
bête,глупый (как прилаг.),Ne sois pas <b>bête</b> !,Не будь <b>глупым</b>!,🙄,adj
réparer,ремонтировать,Je dois <b>réparer</b> ma voiture.,Мне нужно <b>починить</b> машину.,🔧,v
dresser,устанавливать; дрессировать,J'ai <b>dressé</b> une liste.,Я <b>составил</b> список.,📋,v
une autorité,власть; авторитет,Il a de l'<b>autorité</b>.,У него есть <b>авторитет</b>.,👔,f
une caisse,касса; ящик,Passe à la <b>caisse</b>.,Пройди на <b>кассу</b>.,💵,f
horrible,ужасный,C'est <b>horrible</b> !,Это <b>ужасно</b>!,😱,adj
souffler,дуть; отдышаться,Le vent <b>souffle</b> fort.,Ветер <b>дует</b> сильно.,💨,v
un sort,судьба; участь,C'est le <b>sort</b> qui l'a voulu.,Так распорядилась <b>судьба</b>.,🎲,m
un respect,уважение,J'ai du <b>respect</b> pour lui.,Я его <b>уважаю</b>.,🙏,m
une bataille,битва,La <b>bataille</b> a été rude.,<b>Битва</b> была жёсткой.,⚔️,f
un cadavre,труп,On a trouvé un <b>cadavre</b>.,Нашли <b>труп</b>.,💀,m
bosser,работать (разг.),Je <b>bosse</b> ce week-end.,Я <b>работаю</b> на выходных.,💼,v
une lunette,очки (мн.),J'ai perdu mes <b>lunettes</b>.,Я потерял <b>очки</b>.,👓,f
une vache,корова,La <b>vache</b> donne du lait.,<b>Корова</b> даёт молоко.,🐄,f
deuxième,второй,C'est la <b>deuxième</b> fois.,Это <b>второй</b> раз.,2️⃣,adj
un voleur,вор,Le <b>voleur</b> s'est enfui.,<b>Вор</b> сбежал.,🦹,m
une crise,кризис,On traverse une <b>crise</b>.,Мы переживаем <b>кризис</b>.,📉,f
dessiner,рисовать,J'aime <b>dessiner</b> des paysages.,Я люблю <b>рисовать</b> пейзажи.,🎨,v
briller,сиять,Les étoiles <b>brillent</b>.,Звёзды <b>сияют</b>.,✨,v
un dommage,ущерб; жалость,C'est <b>dommage</b> !,<b>Жаль</b>!,😔,m
"ami, amie",дружеский; близкий,On est très <b>amis</b>.,Мы очень <b>дружны</b>.,🤝,adj
concerner,касаться,Ça ne me <b>concerne</b> pas.,Это меня не <b>касается</b>.,🤷,v
un inspecteur,инспектор,L'<b>inspecteur</b> examine les documents.,<b>Инспектор</b> проверяет документы.,🔍,m
certaines,некоторые (ж.р.),<b>Certaines</b> personnes pensent que...,"<b>Некоторые</b> люди думают, что...",👥,adj
enterrer,хоронить; закапывать,On a <b>enterré</b> le trésor.,Мы <b>закопали</b> клад.,⚰️,v
un restaurant,ресторан,On va au <b>restaurant</b> ce soir.,Вечером идём в <b>ресторан</b>.,🍽️,m
un port,порт,Le bateau est au <b>port</b>.,Корабль в <b>порту</b>.,⚓,m
chier,срать (груб.),J'ai envie de <b>chier</b>. (vulgaire),Мне нужно <b>посрать</b>. (груб.),🚽,v
transformer,преобразовывать,On a <b>transformé</b> la maison.,Мы <b>переделали</b> дом.,🔄,v
un juif,еврей,Il est <b>juif</b> pratiquant.,Он верующий <b>еврей</b>.,✡️,m
prononcer,произносить,Comment <b>prononces</b>-tu ce mot ?,Как ты <b>произносишь</b> это слово?,🗣️,v
une zone,зона,C'est une <b>zone</b> interdite.,Это запретная <b>зона</b>.,🚫,f
un cerveau,мозг,Le <b>cerveau</b> humain est complexe.,Человеческий <b>мозг</b> сложен.,🧠,m
un fruit,фрукт,Mange des <b>fruits</b> chaque jour.,Ешь <b>фрукты</b> каждый день.,🍎,m
survivre,выживать,Il a <b>survécu</b> à l'accident.,Он <b>выжил</b> в аварии.,💪,v
un ciel,небо,Le <b>ciel</b> est bleu aujourd'hui.,<b>Небо</b> сегодня голубое.,🌤️,m
un saint,святой,C'est un <b>saint</b> homme.,Это <b>святой</b> человек.,😇,m
"charmant, charmante",очаровательный,Elle est <b>charmante</b>.,Она <b>очаровательна</b>.,😊,adj
un prêtre,священник,Le <b>prêtre</b> dit la messe.,<b>Священник</b> служит мессу.,⛪,m
une justice,правосудие,La <b>justice</b> sera faite.,<b>Справедливость</b> восторжествует.,⚖️,f
un club,клуб,Je suis membre du <b>club</b>.,Я член <b>клуба</b>.,🏟️,m
pendre,вешать; висеть,Le tableau <b>pend</b> au mur.,Картина <b>висит</b> на стене.,🖼️,v
une reine,королева,La <b>reine</b> d'Angleterre.,<b>Королева</b> Англии.,👑,f
un nuage,облако,Le ciel est couvert de <b>nuages</b>.,Небо покрыто <b>облаками</b>.,☁️,m
"un amant, une amante",любовник,Elle a un <b>amant</b> secret.,У неё тайный <b>любовник</b>.,❤️,m/f
"étranger, étrangère",иностранный,C'est une langue <b>étrangère</b>.,Это <b>иностранный</b> язык.,🌍,adj
un appareil,аппарат; прибор,L'<b>appareil</b> photo est cassé.,<b>Фотоаппарат</b> сломан.,📷,m
intelligent,умный,C'est un garçon très <b>intelligent</b>.,Это очень <b>умный</b> мальчик.,🧠,adj
"intelligent, intelligente",умный,C'est une femme <b>intelligente</b>.,Это <b>умная</b> женщина.,🧠,adj
quels,какие (м.р.),<b>Quels</b> sont tes projets ?,<b>Какие</b> у тебя планы?,❓,adj
un trait,черта; линия,C'est un <b>trait</b> de caractère.,Это <b>черта</b> характера.,📏,m
nettoyer,чистить,Je dois <b>nettoyer</b> la maison.,Мне нужно <b>убрать</b> дом.,🧹,v
une salope,сука (груб.),Quelle <b>salope</b> ! (vulgaire),Вот <b>сука</b>! (груб.),🤬,f
prétendre,утверждать; притворяться,Il <b>prétend</b> tout savoir.,"Он <b>утверждает</b>, что всё знает.",🤔,v
un monstre,монстр,C'est un <b>monstre</b> !,Это <b>монстр</b>!,👹,m
une montre,часы (наручные),Ma <b>montre</b> est en retard.,Мои <b>часы</b> отстают.,⌚,f
une valeur,ценность,C'est un objet de grande <b>valeur</b>.,Это очень <b>ценный</b> предмет.,💎,f
un e,буква Е,Le mot finit par un <b>e</b> muet.,Слово заканчивается на немую <b>е</b>.,🔤,m
une usine,завод,L'<b>usine</b> produit des voitures.,<b>Завод</b> производит машины.,🏭,f
une queue,хвост; очередь,Il y a une longue <b>queue</b>.,Длинная <b>очередь</b>.,🐈,f
un mieux,лучшее; улучшение,"Faute de <b>mieux</b>, on reste ici.","За неимением <b>лучшего</b>, останемся здесь.",📈,m
un froid,холод,Je n'aime pas le <b>froid</b>.,Я не люблю <b>холод</b>.,🥶,m
croiser,скрещивать; встречать,J'ai <b>croisé</b> un ami dans la rue.,Я <b>встретил</b> друга на улице.,🤝,v
réunir,собирать; объединять,On va <b>réunir</b> la famille.,Мы <b>соберём</b> семью.,👨‍👩‍👧‍👦,v
avaler,глотать,<b>Avale</b> le comprimé.,<b>Проглоти</b> таблетку.,💊,v
un contrôle,контроль; проверка,Il y a un <b>contrôle</b> à la frontière.,На границе <b>проверка</b>.,🔍,m
accuser,обвинять,On l'<b>accuse</b> de vol.,Его <b>обвиняют</b> в краже.,⚖️,v
organiser,организовывать,Je vais <b>organiser</b> une fête.,Я <b>организую</b> вечеринку.,🎉,v
une source,источник,C'est une <b>source</b> fiable.,Это надёжный <b>источник</b>.,💧,f
haïr,ненавидеть,Je <b>hais</b> le mensonge.,Я <b>ненавижу</b> ложь.,😤,v
une piste,трасса; след,La police suit une <b>piste</b>.,Полиция идёт по <b>следу</b>.,🔍,f
une violence,насилие,La <b>violence</b> n'est pas la solution.,<b>Насилие</b> — не выход.,🚫,f
une veste,пиджак; куртка,Mets ta <b>veste</b>.,Надень <b>куртку</b>.,🧥,f
"mignon, mignonne",милый,Que tu es <b>mignon</b> !,Какой ты <b>милый</b>!,🥰,adj
une vitesse,скорость,Quelle <b>vitesse</b> incroyable !,Какая невероятная <b>скорость</b>!,🚀,f
"curieux, curieuse",любопытный,Je suis <b>curieux</b> de savoir.,Мне <b>любопытно</b> узнать.,🤔,adj
"moyen, moyenne",средний,C'est une taille <b>moyenne</b>.,Это <b>средний</b> размер.,📊,adj
exprimer,выражать,Je ne sais pas comment <b>exprimer</b> mes sentiments.,"Не знаю, как <b>выразить</b> свои чувства.",💬,v
un article,статья,J'ai lu un <b>article</b> intéressant.,Я прочитал интересную <b>статью</b>.,📰,m
vider,опустошать,<b>Vide</b> ton assiette.,<b>Доешь</b> свою тарелку.,🍽️,v
admirer,восхищаться,J'<b>admire</b> ton courage.,Я <b>восхищаюсь</b> твоей смелостью.,😍,v
un beau,красавец,"C'est un <b>beau</b>, ce gars.",Этот парень — <b>красавец</b>.,😎,m
un terme,термин; срок,C'est un <b>terme</b> technique.,Это технический <b>термин</b>.,📖,m
coincer,зажимать; застревать,Je me suis <b>coincé</b> le doigt.,Я <b>прищемил</b> палец.,🚪,v
une chaîne,цепь; канал,J'ai changé de <b>chaîne</b>.,Я переключил <b>канал</b>.,📺,f
un américain,американец,Mon voisin est <b>américain</b>.,Мой сосед — <b>американец</b>.,🇺🇸,m
une excuse,извинение; отговорка,Je n'accepte pas tes <b>excuses</b>.,Я не принимаю твои <b>отговорки</b>.,🙅,f
achever,завершать,J'ai <b>achevé</b> mon travail.,Я <b>завершил</b> работу.,✅,v
abattre,валить; убивать,Ils ont <b>abattu</b> l'arbre.,Они <b>срубили</b> дерево.,🪓,v
"malheureux, malheureuse",несчастный,Elle a l'air <b>malheureuse</b>.,Она выглядит <b>несчастной</b>.,😢,adj
pénétrer,проникать,L'eau a <b>pénétré</b> dans la maison.,Вода <b>проникла</b> в дом.,💧,v
mordre,кусать,Le chien m'a <b>mordu</b>.,Собака меня <b>укусила</b>.,🐕,v
une victoire,победа,C'est une grande <b>victoire</b> !,Это большая <b>победа</b>!,🏆,f
formidable,потрясающий,C'est une idée <b>formidable</b> !,Это <b>потрясающая</b> идея!,👏,adj
une cesse,прекращение,Il travaille sans <b>cesse</b>.,Он работает без <b>устали</b>.,♾️,f
une croix,крест,Il y a une <b>croix</b> sur la colline.,На холме стоит <b>крест</b>.,✝️,f
"sur, sure",кислый; уверенный,Le citron est <b>sur</b>.,Лимон <b>кислый</b>.,🍋,adj
une poussière,пыль,Il y a de la <b>poussière</b> partout.,Везде <b>пыль</b>.,🧹,f
supplier,умолять,Je te <b>supplie</b> de m'aider.,Я тебя <b>умоляю</b> помочь.,🙏,v
un gâteau,торт; пирожное,J'ai fait un <b>gâteau</b> au chocolat.,Я испёк <b>торт</b> с шоколадом.,🍰,m
soigner,лечить; ухаживать,Le médecin va te <b>soigner</b>.,Врач тебя <b>вылечит</b>.,🩺,v
disposer,располагать; размещать,Je <b>dispose</b> de peu de temps.,У меня мало времени в <b>распоряжении</b>.,📋,v
rompre,рвать; разрывать,Ils ont <b>rompu</b> leurs fiançailles.,Они <b>разорвали</b> помолвку.,💔,v
un discours,речь,Le président a fait un <b>discours</b>.,Президент произнёс <b>речь</b>.,🎤,m
une veille,канун; бодрствование,C'était la <b>veille</b> de Noël.,Это был <b>канун</b> Рождества.,🌙,f
une planète,планета,La Terre est une <b>planète</b>.,Земля — это <b>планета</b>.,🌍,f
soutenir,поддерживать,Je te <b>soutiens</b> à cent pour cent.,Я тебя <b>поддерживаю</b> на все сто.,🤝,v
"méchant, méchante",злой,Ce chien est <b>méchant</b>.,Эта собака <b>злая</b>.,😠,adj
effacer,стирать,<b>Efface</b> cette erreur.,<b>Сотри</b> эту ошибку.,🧽,v
un immeuble,многоквартирный дом,J'habite dans un grand <b>immeuble</b>.,Я живу в большом <b>многоквартирном доме</b>.,🏢,m
imposer,навязывать,Je ne veux rien t'<b>imposer</b>.,Я не хочу тебе ничего <b>навязывать</b>.,🚫,v
une couverture,одеяло; обложка,"Prends une <b>couverture</b>, il fait froid.","Возьми <b>одеяло</b>, холодно.",🛏️,f
"commun, commune",общий,On a des amis <b>communs</b>.,У нас есть <b>общие</b> друзья.,🤝,adj
obéir,слушаться,<b>Obéis</b> à tes parents.,<b>Слушайся</b> родителей.,👨‍👩‍👧,v
une réunion,собрание,J'ai une <b>réunion</b> à dix heures.,У меня <b>собрание</b> в десять.,📋,f
un compagnon,товарищ; спутник,C'est mon <b>compagnon</b> de voyage.,Это мой <b>попутчик</b>.,👥,m
un rideau,штора,Ferme les <b>rideaux</b>.,Закрой <b>шторы</b>.,🪟,m
"perdu, perdue",потерянный,Je suis <b>perdu</b>.,Я <b>потерялся</b>.,😰,adj
un succès,успех,C'est un grand <b>succès</b> !,Это большой <b>успех</b>!,🎉,m
élève,ученик,L'<b>élève</b> a bien répondu à la question.,<b>Ученик</b> хорошо ответил на вопрос.,👨‍🎓,m/f
éclairer,освещать,La lampe <b>éclaire</b> la pièce.,Лампа <b>освещает</b> комнату.,💡,v
une branche,ветка,L'oiseau est sur la <b>branche</b>.,Птица на <b>ветке</b>.,🌿,f
contrôler,контролировать,Je <b>contrôle</b> la situation.,Я <b>контролирую</b> ситуацию.,✅,v
exiger,требовать,Il <b>exige</b> une réponse.,Он <b>требует</b> ответа.,📢,v
une naissance,рождение,C'est le jour de ma <b>naissance</b>.,Это день моего <b>рождения</b>.,👶,f
un dire,высказывание,"Selon ses <b>dires</b>, il était absent.","По его <b>словам</b>, он отсутствовал.",💬,m
une flamme,пламя,La <b>flamme</b> danse dans la cheminée.,<b>Пламя</b> танцует в камине.,🔥,f
une danse,танец,Tu m'accordes cette <b>danse</b> ?,Ты позволишь мне этот <b>танец</b>?,💃,f
une peinture,живопись; краска,J'aime la <b>peinture</b> impressionniste.,Я люблю <b>живопись</b> импрессионизма.,🎨,f
rassurer,успокаивать,"<b>Rassure</b>-toi, tout ira bien.","<b>Успокойся</b>, всё будет хорошо.",😌,v
un démon,демон,Il se bat contre ses <b>démons</b>.,Он борется со своими <b>демонами</b>.,😈,m
un quart,четверть,Il est midi et <b>quart</b>.,Сейчас четверть первого.,🕐,m
faible,слабый,Je me sens <b>faible</b>.,Я чувствую себя <b>слабым</b>.,😩,adj
trahir,предавать,Il m'a <b>trahi</b>.,Он меня <b>предал</b>.,💔,v
une viande,мясо,Je ne mange pas de <b>viande</b>.,Я не ем <b>мясо</b>.,🥩,f
"nerveux, nerveuse",нервный,Elle est très <b>nerveuse</b>.,Она очень <b>нервная</b>.,😬,adj
un ensemble,ансамбль; совокупность,On va faire ça <b>ensemble</b>.,Мы сделаем это <b>вместе</b>.,👫,m
agiter,трясти; волновать,N'<b>agite</b> pas la bouteille.,Не <b>тряси</b> бутылку.,🔄,v
une leçon,урок,J'ai appris ma <b>leçon</b>.,Я выучил <b>урок</b>.,📖,f
un os,кость,Le chien ronge un <b>os</b>.,Собака грызёт <b>кость</b>.,🦴,m
condamner,осуждать; приговаривать,Le tribunal l'a <b>condamné</b>.,Суд его <b>осудил</b>.,⚖️,v
une cellule,камера; клетка,Il est en <b>cellule</b>.,Он в <b>камере</b>.,🔒,f
un chauffeur,водитель,Le <b>chauffeur</b> de taxi attend.,<b>Водитель</b> такси ждёт.,🚕,m
un parfum,духи; аромат,Ce <b>parfum</b> sent bon.,Эти <b>духи</b> хорошо пахнут.,🌸,m
fouiller,обыскивать,La police a <b>fouillé</b> la maison.,Полиция <b>обыскала</b> дом.,🔍,v
une aile,крыло,L'oiseau a une <b>aile</b> blessée.,У птицы раненое <b>крыло</b>.,🦅,f
une absence,отсутствие,Ton <b>absence</b> m'a manqué.,Я скучал в твоё <b>отсутствие</b>.,😔,f
résister,сопротивляться,Je ne peux pas <b>résister</b> au chocolat.,Я не могу <b>устоять</b> перед шоколадом.,💪,v
une presse,пресса,La <b>presse</b> en parle partout.,<b>Пресса</b> об этом везде пишет.,📰,f
un roman,роман,J'ai lu un bon <b>roman</b>.,Я прочитал хороший <b>роман</b>.,📚,m
un pardon,прощение,Je te demande <b>pardon</b>.,Прошу у тебя <b>прощения</b>.,🙏,m
"anglais, anglaise",английский,Je parle <b>anglais</b>.,Я говорю по-<b>английски</b>.,🇬🇧,adj
parfaire,совершенствовать,Il veut <b>parfaire</b> son français.,Он хочет <b>усовершенствовать</b> свой французский.,✨,v
faillir,чуть не (сделать),J'ai <b>failli</b> tomber.,Я <b>чуть не</b> упал.,😅,v
une distance,расстояние,La <b>distance</b> est longue.,<b>Расстояние</b> большое.,📏,f
un univers,вселенная,L'<b>univers</b> est immense.,<b>Вселенная</b> огромна.,🌌,m
refermer,закрывать снова,<b>Referme</b> la porte.,<b>Закрой</b> дверь.,🚪,v
une grâce,милость; изящество,Elle danse avec <b>grâce</b>.,Она танцует с <b>изяществом</b>.,✨,f
un trésor,сокровище,On a trouvé un <b>trésor</b>.,Мы нашли <b>сокровище</b>.,💎,m
révéler,раскрывать,Je vais te <b>révéler</b> un secret.,Я тебе <b>открою</b> секрет.,🤫,v
un dessus,верх,C'est sur le <b>dessus</b>.,Это <b>сверху</b>.,⬆️,m
une tombe,могила,Il est allé sur la <b>tombe</b> de son père.,Он пошёл на <b>могилу</b> отца.,⚰️,f
un franc,франк (валюта),Ça coûtait dix <b>francs</b>.,Это стоило десять <b>франков</b>.,💰,m
un oeuf,яйцо,Je mange un <b>œuf</b> au petit-déjeuner.,Я ем <b>яйцо</b> на завтрак.,🥚,m
précis,точный,Sois plus <b>précis</b>.,Будь <b>точнее</b>.,🎯,adj
"précis, précise",точный,Sois plus <b>précis</b>.,Будь <b>точнее</b>.,🎯,adj
honnête,честный,Il est très <b>honnête</b>.,Он очень <b>честный</b>.,✅,adj
un niveau,уровень,Ton <b>niveau</b> de français est bon.,Твой <b>уровень</b> французского хороший.,📊,m
"blond, blonde",блондин; светловолосый,Elle a les cheveux <b>blonds</b>.,У неё <b>светлые</b> волосы.,👱,adj
"arrivé, arrivée",прибывший,Le train est <b>arrivé</b>.,Поезд <b>прибыл</b>.,🚂,adj
indiquer,указывать,Pouvez-vous m'<b>indiquer</b> le chemin ?,Можете <b>указать</b> мне дорогу?,👉,v
un comte,граф,Le <b>comte</b> habitait ce château.,<b>Граф</b> жил в этом замке.,👑,m
un génie,гений,C'est un vrai <b>génie</b> !,Он настоящий <b>гений</b>!,🧠,m
"un tueur, une tueuse",убийца,Le <b>tueur</b> a été arrêté.,<b>Убийца</b> был арестован.,🔪,m/f
un public,публика; аудитория,Le <b>public</b> a applaudi.,<b>Публика</b> аплодировала.,👥,m
commettre,совершать (преступление),Il a <b>commis</b> une erreur.,Он <b>совершил</b> ошибку.,⚠️,v
pâle,бледный,Tu es tout <b>pâle</b>.,Ты совсем <b>бледный</b>.,😰,adj
une enquête,расследование,La police mène une <b>enquête</b>.,Полиция ведёт <b>расследование</b>.,🔍,f
un fantôme,призрак,Tu crois aux <b>fantômes</b> ?,Ты веришь в <b>призраков</b>?,👻,m
fabriquer,изготавливать,Cette usine <b>fabrique</b> des meubles.,Эта фабрика <b>производит</b> мебель.,🏭,v
assister,присутствовать,J'ai <b>assisté</b> à la conférence.,Я <b>присутствовал</b> на конференции.,👥,v
"puissant, puissante",могущественный,C'est un homme <b>puissant</b>.,Это <b>могущественный</b> человек.,💪,adj
une hauteur,высота,Quelle est la <b>hauteur</b> de cette tour ?,Какова <b>высота</b> этой башни?,📏,f
caresser,гладить; ласкать,Elle <b>caresse</b> le chat.,Она <b>гладит</b> кота.,🐱,v
une boule,шар,C'est une <b>boule</b> de neige.,Это снежный <b>ком</b>.,⚪,f
un samedi,суббота,On se voit <b>samedi</b> ?,Увидимся в <b>субботу</b>?,📅,m
"lointain, lointaine",далёкий,C'est un pays <b>lointain</b>.,Это <b>далёкая</b> страна.,🌍,adj
un artiste,художник; артист,C'est un grand <b>artiste</b>.,Это великий <b>художник</b>.,🎨,m/f
un repos,отдых,J'ai besoin de <b>repos</b>.,Мне нужен <b>отдых</b>.,😴,m
plat,плоский,Le terrain est <b>plat</b>.,Местность <b>плоская</b>.,📏,m
un plat,блюдо,Ce <b>plat</b> est délicieux.,Это <b>блюдо</b> вкусное.,🍽️,m
"vu, vue",виденный; учитывая,"<b>Vu</b> les circonstances, j'accepte.","<b>Учитывая</b> обстоятельства, я согласен.",👁️,adj
un miroir,зеркало,Je me regarde dans le <b>miroir</b>.,Я смотрюсь в <b>зеркало</b>.,🪞,m
une goutte,капля,Une <b>goutte</b> d'eau.,<b>Капля</b> воды.,💧,f
quelles,какие (ж.р.),<b>Quelles</b> sont tes idées ?,<b>Какие</b> у тебя идеи?,❓,adj
une corde,верёвка,Attache avec une <b>corde</b>.,Привяжи <b>верёвкой</b>.,🪢,f
un rat,крыса,Il y a un <b>rat</b> dans la cave.,В подвале <b>крыса</b>.,🐀,m
peser,весить; взвешивать,Combien tu <b>pèses</b> ?,Сколько ты <b>весишь</b>?,⚖️,v
"épais, épaisse",толстый; густой,Ce livre est <b>épais</b>.,Эта книга <b>толстая</b>.,📚,adj
une puissance,мощь; сила,C'est une grande <b>puissance</b> mondiale.,Это великая мировая <b>держава</b>.,💪,f
une expression,выражение,C'est une <b>expression</b> idiomatique.,Это идиоматическое <b>выражение</b>.,💬,f
une unité,единство; единица,L'<b>unité</b> fait la force.,В <b>единстве</b> сила.,🤝,f
un vide,пустота,Il y a un <b>vide</b> dans ma vie.,В моей жизни <b>пустота</b>.,🕳️,m
un don,дар; пожертвование,Il a le <b>don</b> de la musique.,У него <b>дар</b> к музыке.,🎁,m
interrompre,прерывать,Ne m'<b>interromps</b> pas !,Не <b>перебивай</b> меня!,🛑,v
"joyeux, joyeuse",радостный,<b>Joyeux</b> Noël !,<b>Весёлого</b> Рождества!,🎄,adj
emmerder,доставать (груб.),Tu m'<b>emmerdes</b> !,Ты меня <b>достал</b>!,😠,v
examiner,осматривать; изучать,Le médecin va t'<b>examiner</b>.,Врач тебя <b>осмотрит</b>.,🩺,v
un match,матч,Le <b>match</b> commence à huit heures.,<b>Матч</b> начинается в восемь.,⚽,m
rigoler,смеяться (разг.),On a bien <b>rigolé</b>.,Мы здорово <b>посмеялись</b>.,😂,v
un malade,больной,Le <b>malade</b> va mieux.,<b>Больной</b> чувствует себя лучше.,🏥,m/f
une humeur,настроение,Elle est de bonne <b>humeur</b>.,Она в хорошем <b>настроении</b>.,😊,f
une masse,масса,Une <b>masse</b> de gens attendaient.,<b>Масса</b> людей ждала.,👥,f
un alcool,алкоголь,Je ne bois pas d'<b>alcool</b>.,Я не пью <b>алкоголь</b>.,🍷,m
déplacer,перемещать,<b>Déplace</b> ce meuble.,<b>Передвинь</b> эту мебель.,🚚,v
exploser,взрываться,La bombe a <b>explosé</b>.,Бомба <b>взорвалась</b>.,💥,v
un adieu,прощание,C'est un <b>adieu</b>.,Это <b>прощание</b>.,👋,m
double,двойной,C'est le <b>double</b> du prix.,Это <b>вдвое</b> дороже.,✌️,adj
visiter,посещать,Je vais <b>visiter</b> le musée.,Я собираюсь <b>посетить</b> музей.,🏛️,v
énerver,раздражать,Tu m'<b>énerves</b> !,Ты меня <b>раздражаешь</b>!,😤,v
un talent,талант,Tu as beaucoup de <b>talent</b>.,У тебя большой <b>талант</b>.,⭐,m
un éclat,вспышка; осколок,Un <b>éclat</b> de rire.,Взрыв <b>смеха</b>.,✨,m
contenter,удовлетворять,Je me <b>contente</b> de peu.,Я <b>довольствуюсь</b> малым.,😌,v
contenir,содержать,Cette boîte <b>contient</b> des bijoux.,Эта коробка <b>содержит</b> украшения.,📦,v
superbe,великолепный,C'est une vue <b>superbe</b> !,Это <b>великолепный</b> вид!,🤩,adj
une pointe,остриё; пик,C'est l'heure de <b>pointe</b>.,Это час <b>пик</b>.,📍,f
une gloire,слава,Il rêve de <b>gloire</b>.,Он мечтает о <b>славе</b>.,🏆,f
un trottoir,тротуар,Marche sur le <b>trottoir</b>.,Иди по <b>тротуару</b>.,🚶,m
un assassin,убийца,L'<b>assassin</b> a été condamné.,<b>Убийца</b> был осуждён.,⚔️,m
un môme,ребёнок (разг.),Ce <b>môme</b> est adorable.,Этот <b>малыш</b> очарователен.,👶,m/f
goûter,пробовать,<b>Goûte</b> ce plat.,<b>Попробуй</b> это блюдо.,🍴,v
vieil,старый (перед гласной),Un <b>vieil</b> ami m'a appelé.,<b>Старый</b> друг мне позвонил.,👴,adj
troisième,третий,C'est la <b>troisième</b> fois.,Это <b>третий</b> раз.,3️⃣,adj
un palais,дворец,Le roi vit dans un <b>palais</b>.,Король живёт во <b>дворце</b>.,🏰,m
un drap,простыня,Change les <b>draps</b> du lit.,Смени <b>простыни</b> на кровати.,🛏️,m
une tache,пятно,Il y a une <b>tache</b> sur ta chemise.,На твоей рубашке <b>пятно</b>.,👕,f
une qualité,качество,C'est un produit de <b>qualité</b>.,Это <b>качественный</b> продукт.,⭐,f
accueillir,принимать; встречать,Je vais t'<b>accueillir</b> à l'aéroport.,Я тебя <b>встречу</b> в аэропорту.,🤗,v
un pire,худшее,Le <b>pire</b> est à venir.,<b>Худшее</b> ещё впереди.,😱,m
un printemps,весна,Le <b>printemps</b> arrive.,<b>Весна</b> приходит.,🌸,m
une urgence,срочность; скорая,C'est une <b>urgence</b> !,Это <b>срочно</b>!,🚨,f
un lycée,лицей; старшая школа,Mon fils est au <b>lycée</b>.,Мой сын учится в <b>лицее</b>.,🎒,m
un patient,пациент,Le <b>patient</b> attend le médecin.,<b>Пациент</b> ждёт врача.,🏥,m
une attitude,отношение; поза,J'aime ton <b>attitude</b> positive.,Мне нравится твоё позитивное <b>отношение</b>.,😊,f
un poing,кулак,Il a serré le <b>poing</b>.,Он сжал <b>кулак</b>.,✊,m
joindre,соединять; связываться,Comment puis-je vous <b>joindre</b> ?,Как я могу с вами <b>связаться</b>?,📞,v
étouffer,душить; задыхаться,J'<b>étouffe</b> de chaleur.,Я <b>задыхаюсь</b> от жары.,🥵,v
