French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
un craquement,треск,Un <b>craquement</b> de bois.,<b>Треск</b> дерева.,🪵,m
une mitraillette,автомат,Une <b>mitraillette</b> Thompson.,Автомат <b>Томпсона</b>.,🔫,f
répugner,вызывать отвращение,Ça me <b>répugne</b>.,Это меня <b>отталкивает</b>.,🤢,v
un effroi,ужас,Un <b>effroi</b> sans nom.,Безымянный <b>ужас</b>.,😱,m
une aurore,заря,L'<b>aurore</b> boréale.,Северное <b>сияние</b>.,🌅,f
un rex,рекс (кинотеатр),Au ciné <b>Rex</b>.,В кинотеатре <b>Рекс</b>.,🎬,m
une hémorragie,кровотечение,Une <b>hémorragie</b> interne.,Внутреннее <b>кровотечение</b>.,🩸,f
un brouhaha,гул,Un <b>brouhaha</b> de voix.,<b>Гул</b> голосов.,🗣️,m
un calibre,калибр,Un gros <b>calibre</b>.,Крупный <b>калибр</b>.,🔫,m
un chargement,груз,Un <b>chargement</b> de marchandises.,<b>Груз</b> товаров.,📦,m
un roc,скала,Solide comme un <b>roc</b>.,Крепкий как <b>скала</b>.,🪨,m
une commode,комод,Une <b>commode</b> en bois.,Деревянный <b>комод</b>.,🪑,f
une jouissance,наслаждение,Une <b>jouissance</b> intense.,Интенсивное <b>наслаждение</b>.,😊,f
un armistice,перемирие,Signer un <b>armistice</b>.,Подписать <b>перемирие</b>.,🕊️,m
une blancheur,белизна,Une <b>blancheur</b> immaculée.,Безупречная <b>белизна</b>.,⬜,f
un lis,лилия,Le <b>lis</b> est une fleur.,<b>Лилия</b> — цветок.,🌸,m
un perroquet,попугай,Un <b>perroquet</b> parlant.,Говорящий <b>попугай</b>.,🦜,m
une roulette,рулетка,Jouer à la <b>roulette</b>.,Играть в <b>рулетку</b>.,🎰,f
gerber,блевать (разг.),J'ai envie de <b>gerber</b>.,Меня <b>тошнит</b>.,🤮,v
une extase,экстаз,Dans l'<b>extase</b>.,В <b>экстазе</b>.,🤩,f
un minet,котик; франт,Le <b>minet</b> se pavane.,<b>Франт</b> красуется.,🐱,m
grandiose,грандиозный,Un spectacle <b>grandiose</b>.,<b>Грандиозное</b> зрелище.,🏛️,adj
"plaisant, plaisante",приятный,Une soirée <b>plaisante</b>.,<b>Приятный</b> вечер.,😊,adj
un tempérament,темперамент,Un <b>tempérament</b> fougueux.,Пылкий <b>темперамент</b>.,🔥,m
"sanguin, sanguine",сангвинический,Un caractère <b>sanguin</b>.,<b>Сангвинический</b> характер.,❤️,adj
une porcelaine,фарфор,Une tasse en <b>porcelaine</b>.,<b>Фарфоровая</b> чашка.,🍵,f
"égaré, égarée",заблудившийся,Un voyageur <b>égaré</b>.,<b>Заблудившийся</b> путник.,🧭,adj
un bulletin,бюллетень,Un <b>bulletin</b> météo.,Метео<b>сводка</b>.,📰,m
céleste,небесный,Un corps <b>céleste</b>.,<b>Небесное</b> тело.,⭐,adj
revendre,перепродавать,<b>Revendre</b> une voiture.,<b>Перепродать</b> машину.,🚗,v
rasseoir,усаживать снова,<b>Rassieds</b>-toi.,<b>Садись</b> обратно.,🪑,v
inverser,инвертировать,<b>Inverser</b> l'ordre.,<b>Поменять</b> порядок.,🔄,v
un astre,светило,Un <b>astre</b> lumineux.,Яркое <b>светило</b>.,⭐,m
"distrait, distraite",рассеянный,Il est <b>distrait</b>.,Он <b>рассеянный</b>.,🤔,adj
une bretelle,лямка,Les <b>bretelles</b> du sac.,<b>Лямки</b> рюкзака.,🎒,f
influencer,влиять,<b>Influencer</b> l'opinion.,<b>Влиять</b> на мнение.,📢,v
une offensive,наступление,Lancer une <b>offensive</b>.,Начать <b>наступление</b>.,⚔️,f
un déchet,отходы,Les <b>déchets</b> recyclables.,Перерабатываемые <b>отходы</b>.,♻️,m
une bâche,брезент,Couvrir d'une <b>bâche</b>.,Накрыть <b>брезентом</b>.,🏕️,f
une olive,оливка,Une <b>olive</b> verte.,Зелёная <b>оливка</b>.,🫒,f
"colonial, coloniale",колониальный,L'ère <b>coloniale</b>.,<b>Колониальная</b> эпоха.,🏛️,adj
un doux,мягкий (субст.),Filer <b>doux</b>.,Вести себя <b>тихо</b>.,🤫,m
blême,бледный,Un visage <b>blême</b>.,<b>Бледное</b> лицо.,😨,adj
"distingué, distinguée",изысканный,Un homme <b>distingué</b>.,<b>Изысканный</b> человек.,🎩,adj
une dinde,индейка,Une <b>dinde</b> de Noël.,Рождественская <b>индейка</b>.,🦃,f
pâlir,бледнеть,<b>Pâlir</b> de peur.,<b>Побледнеть</b> от страха.,😨,v
"turc, turque",турецкий,Un café <b>turc</b>.,<b>Турецкий</b> кофе.,☕,adj
"conjugal, conjugale",супружеский,La vie <b>conjugale</b>.,<b>Супружеская</b> жизнь.,💑,adj
un inconvénient,неудобство,Un petit <b>inconvénient</b>.,Маленькое <b>неудобство</b>.,😕,m
un remous,волнение,Des <b>remous</b> dans l'eau.,<b>Волнение</b> на воде.,🌊,m
un soda,газировка,Un verre de <b>soda</b>.,Стакан <b>газировки</b>.,🥤,m
"costaud, costaude",крепкий,Un gars <b>costaud</b>.,<b>Крепкий</b> парень.,💪,adj
un logis,жилище,Un humble <b>logis</b>.,Скромное <b>жилище</b>.,🏠,m
une insistance,настойчивость,Avec <b>insistance</b>.,С <b>настойчивостью</b>.,💪,f
un tyran,тиран,Un <b>tyran</b> cruel.,Жестокий <b>тиран</b>.,😈,m
reparaître,появляться снова,<b>Reparaître</b> au bout d'un an.,Снова <b>появиться</b> через год.,👻,v
verrouiller,запирать,<b>Verrouiller</b> la porte.,<b>Запереть</b> дверь.,🔐,v
une démission,отставка,Donner sa <b>démission</b>.,Подать в <b>отставку</b>.,📝,f
"réussi, réussie",удавшийся,Une soirée <b>réussie</b>.,<b>Удавшийся</b> вечер.,🎉,adj
un moineau,воробей,Un petit <b>moineau</b>.,Маленький <b>воробей</b>.,🐦,m
typique,типичный,Un cas <b>typique</b>.,<b>Типичный</b> случай.,📊,adj
succomber,поддаваться,<b>Succomber</b> à la tentation.,<b>Поддаться</b> искушению.,😵,v
un t-shirt,футболка,Un <b>t-shirt</b> blanc.,Белая <b>футболка</b>.,👕,m
haver,долбить (горное дело),<b>Haver</b> le charbon.,<b>Добывать</b> уголь.,⛏️,v
"sensuel, sensuelle",чувственный,Une danse <b>sensuelle</b>.,<b>Чувственный</b> танец.,💃,adj
"détaché, détachée",отстранённый,Un ton <b>détaché</b>.,<b>Отстранённый</b> тон.,😐,adj
un ravitaillement,снабжение,Le <b>ravitaillement</b> des troupes.,<b>Снабжение</b> войск.,🚚,m
un impact,удар,L'<b>impact</b> de la balle.,<b>Удар</b> пули.,💥,m
un sirop,сироп,Un <b>sirop</b> contre la toux.,<b>Сироп</b> от кашля.,🍯,m
un carrelage,плитка,Un <b>carrelage</b> blanc.,Белая <b>плитка</b>.,🟦,m
discerner,различать,<b>Discerner</b> le vrai du faux.,<b>Различить</b> правду от лжи.,👁️,v
un fourré,заросли,Se cacher dans les <b>fourrés</b>.,Прятаться в <b>зарослях</b>.,🌳,m
enrager,злиться,<b>Enrager</b> de colère.,<b>Злиться</b> от гнева.,😡,v
un demi,половина; кружка пива,"Un <b>demi</b>, s'il vous plaît.","<b>Пол-литра</b> пива, пожалуйста.",🍺,m
"vaillant, vaillante",доблестный,Un guerrier <b>vaillant</b>.,<b>Доблестный</b> воин.,⚔️,adj
un grondement,рокот,Le <b>grondement</b> du tonnerre.,<b>Рокот</b> грома.,⛈️,m
éparpiller,разбрасывать,<b>Éparpiller</b> des graines.,<b>Разбросать</b> семена.,🌱,v
un festival,фестиваль,Un <b>festival</b> de musique.,Музыкальный <b>фестиваль</b>.,🎵,m
purifier,очищать,<b>Purifier</b> l'eau.,<b>Очистить</b> воду.,💧,v
un itinéraire,маршрут,Un <b>itinéraire</b> touristique.,Туристический <b>маршрут</b>.,🗺️,m
"ingrat, ingrate",неблагодарный,Un travail <b>ingrat</b>.,<b>Неблагодарная</b> работа.,😔,adj
une omelette,омлет,Une <b>omelette</b> aux champignons.,<b>Омлет</b> с грибами.,🥚,f
collaborer,сотрудничать,<b>Collaborer</b> sur un projet.,<b>Сотрудничать</b> над проектом.,🤝,v
une cuvette,раковина; таз,La <b>cuvette</b> des toilettes.,<b>Унитаз</b>.,🚽,f
un clochard,бродяга,Un pauvre <b>clochard</b>.,Бедный <b>бродяга</b>.,🧑,m
un rappel,напоминание,Un <b>rappel</b> de vaccin.,<b>Напоминание</b> о прививке.,💉,m
une psychologie,психология,La <b>psychologie</b> humaine.,Человеческая <b>психология</b>.,🧠,f
tournoyer,кружиться,<b>Tournoyer</b> dans le vent.,<b>Кружиться</b> на ветру.,🍃,v
désarmer,разоружать,<b>Désarmer</b> l'ennemi.,<b>Разоружить</b> врага.,⚔️,v
"irréel, irréelle",нереальный,Un décor <b>irréel</b>.,<b>Нереальный</b> декор.,🌈,adj
resserrer,сжимать,<b>Resserrer</b> les liens.,<b>Укреплять</b> связи.,🤝,v
une andouille,дурак (разг.),Quelle <b>andouille</b> !,Какой <b>дурак</b>!,🤦,f
un stress,стресс,Un <b>stress</b> intense.,Интенсивный <b>стресс</b>.,😰,m
basque,баскский,Le pays <b>basque</b>.,<b>Баскская</b> страна.,🇪🇸,adj
"bien-aimé, bien-aimée",возлюбленный,Mon <b>bien-aimé</b>.,Мой <b>возлюбленный</b>.,❤️,adj
durcir,затвердевать,Le béton <b>durcit</b>.,Бетон <b>затвердевает</b>.,🧱,v
un gendre,зять (муж дочери),C'est mon <b>gendre</b>.,Это мой <b>зять</b>.,👨,m
une nudité,нагота,La <b>nudité</b> dans l'art.,<b>Нагота</b> в искусстве.,🎨,f
infiltrer,внедряться,S'<b>infiltrer</b> dans un groupe.,<b>Внедриться</b> в группу.,🕵️,v
une préoccupation,озабоченность,Une <b>préoccupation</b> majeure.,Главная <b>озабоченность</b>.,😟,f
froncer,хмурить,<b>Froncer</b> les sourcils.,<b>Хмурить</b> брови.,😠,v
une plongée,погружение,Une <b>plongée</b> sous-marine.,Подводное <b>погружение</b>.,🤿,f
un égal,равный (субст.),Traiter d'<b>égal</b> à <b>égal</b>.,Обращаться как <b>равный с равным</b>.,🟰,m
une faille,разлом,Une <b>faille</b> dans le système.,<b>Уязвимость</b> в системе.,🔓,f
"protecteur, protectrice",защитный,Un geste <b>protecteur</b>.,<b>Защитный</b> жест.,🛡️,adj
un interlocuteur,собеседник,Mon <b>interlocuteur</b>.,Мой <b>собеседник</b>.,🗣️,m
une recommandation,рекомендация,Une <b>recommandation</b> du médecin.,<b>Рекомендация</b> врача.,📋,f
"marchand, marchande",торговый,La marine <b>marchande</b>.,<b>Торговый</b> флот.,🚢,adj
un pécheur,грешник,Un <b>pécheur</b> repenti.,Раскаявшийся <b>грешник</b>.,🙏,m
déduire,выводить,<b>Déduire</b> une conclusion.,<b>Сделать</b> вывод.,🧠,v
"flottant, flottante",плавающий; колеблющийся,Un taux <b>flottant</b>.,<b>Плавающая</b> ставка.,🌊,adj
"malsain, malsaine",нездоровый,Un climat <b>malsain</b>.,<b>Нездоровый</b> климат.,🤒,adj
une rédaction,сочинение,Écrire une <b>rédaction</b>.,Написать <b>сочинение</b>.,📝,f
manoeuvrer,маневрировать,<b>Manoeuvrer</b> une voiture.,<b>Маневрировать</b> машиной.,🚗,v
intituler,озаглавливать,<b>Intituler</b> un livre.,<b>Озаглавить</b> книгу.,📖,v
décliner,отклонять,<b>Décliner</b> une offre.,<b>Отклонить</b> предложение.,✋,v
une franchise,искренность,Parler avec <b>franchise</b>.,Говорить <b>откровенно</b>.,🗣️,f
une perche,шест,Sauter à la <b>perche</b>.,Прыжки с <b>шестом</b>.,🏅,f
un coureur,бегун,Un <b>coureur</b> de marathon.,<b>Марафонец</b>.,🏃,m
un van,фургон,Voyager en <b>van</b>.,Путешествовать на <b>фургоне</b>.,🚐,m
ressaisir,овладевать снова,Se <b>ressaisir</b>.,<b>Взять себя в руки</b>.,💪,v
exalter,возвеличивать,<b>Exalter</b> un héros.,<b>Превозносить</b> героя.,🦸,v
un glaçon,кубик льда,Mettre des <b>glaçons</b>.,Положить <b>кубики льда</b>.,🧊,m
déformer,деформировать,<b>Déformer</b> la vérité.,<b>Исказить</b> правду.,🔄,v
un bilan,итог,Faire le <b>bilan</b>.,Подвести <b>итоги</b>.,📊,m
"confiant, confiante",уверенный,Se montrer <b>confiant</b>.,Быть <b>уверенным</b>.,😎,adj
une altitude,высота,Une haute <b>altitude</b>.,Большая <b>высота</b>.,⛰️,f
un bled,глушь,Un <b>bled</b> perdu.,Забытая <b>глушь</b>.,🏜️,m
une crotte,какашка,Une <b>crotte</b> de chien.,Собачья <b>какашка</b>.,💩,f
triple,тройной,Un <b>triple</b> saut.,<b>Тройной</b> прыжок.,3️⃣,adj
assombrir,омрачать,<b>Assombrir</b> l'ambiance.,<b>Омрачить</b> атмосферу.,☁️,v
borner,ограничивать,Se <b>borner</b> à écouter.,<b>Ограничиться</b> слушанием.,🛑,v
percher,усаживаться,L'oiseau se <b>perche</b>.,Птица <b>садится</b>.,🐦,v
un moustique,комар,Un <b>moustique</b> m'a piqué.,<b>Комар</b> меня укусил.,🦟,m
aventurer,рисковать,S'<b>aventurer</b> dans la forêt.,<b>Отважиться</b> в лес.,🌲,v
un dit,изречение; присловье,Selon le <b>dit</b> populaire.,Согласно <b>поговорке</b>.,📜,m
un lever,восход,Le <b>lever</b> du soleil.,<b>Восход</b> солнца.,🌅,m
une vis,винт,Serrer une <b>vis</b>.,Закрутить <b>винт</b>.,🔩,f
"posé, posée",спокойный,Un ton <b>posé</b>.,<b>Спокойный</b> тон.,😌,adj
"vitré, vitrée",стеклянный,Une porte <b>vitrée</b>.,<b>Стеклянная</b> дверь.,🪟,adj
un base-ball,бейсбол,Jouer au <b>base-ball</b>.,Играть в <b>бейсбол</b>.,⚾,m
érotique,эротический,Un film <b>érotique</b>.,<b>Эротический</b> фильм.,💋,adj
un revenu,доход,Un <b>revenu</b> annuel.,Годовой <b>доход</b>.,💰,m
diplomatique,дипломатический,Une mission <b>diplomatique</b>.,<b>Дипломатическая</b> миссия.,🤝,adj
accroître,увеличивать,<b>Accroître</b> ses connaissances.,<b>Расширить</b> знания.,📚,v
un isolement,изоляция,Un <b>isolement</b> total.,Полная <b>изоляция</b>.,🏠,m
une nonne,монахиня,Une <b>nonne</b> pieuse.,Набожная <b>монахиня</b>.,🙏,f
une paresse,лень,La <b>paresse</b> est un péché.,<b>Лень</b> — грех.,😴,f
déguster,дегустировать,<b>Déguster</b> un vin.,<b>Дегустировать</b> вино.,🍷,v
un stock,запас,Un grand <b>stock</b>.,Большой <b>запас</b>.,📦,m
un centime,сантим,Un <b>centime</b> d'euro.,<b>Цент</b> евро.,💰,m
dénicher,отыскать,<b>Dénicher</b> un trésor.,<b>Отыскать</b> сокровище.,💎,v
un verger,фруктовый сад,Un <b>verger</b> de pommiers.,Яблоневый <b>сад</b>.,🍎,m
réaliste,реалистичный,Un film <b>réaliste</b>.,<b>Реалистичный</b> фильм.,🎬,adj
une embrouille,заморочка,Quelle <b>embrouille</b> !,Какая <b>заморочка</b>!,🤯,f
"issu, issue",происходящий; выходец,<b>Issu</b> d'une famille modeste.,<b>Выходец</b> из скромной семьи.,👨‍👩‍👧,adj
clocher,хромать; не клеиться,Quelque chose <b>cloche</b>.,Что-то <b>не так</b>.,🤔,v
une bouillie,каша,Une <b>bouillie</b> pour bébé.,<b>Каша</b> для малыша.,🥣,f
rendormir,снова засыпать,Se <b>rendormir</b> vite.,Быстро <b>снова заснуть</b>.,😴,v
un tricot,вязание,Faire du <b>tricot</b>.,<b>Вязать</b>.,🧶,m
atténuer,смягчать,<b>Atténuer</b> la douleur.,<b>Смягчить</b> боль.,💊,v
"éblouissant, éblouissante",ослепительный,Une lumière <b>éblouissante</b>.,<b>Ослепительный</b> свет.,✨,adj
alourdir,утяжелять,<b>Alourdir</b> le texte.,<b>Утяжелить</b> текст.,📚,v
obligatoire,обязательный,Un cours <b>obligatoire</b>.,<b>Обязательный</b> курс.,📋,adj
une volupté,сладострастие,Avec <b>volupté</b>.,С <b>наслаждением</b>.,😌,f
terroriser,терроризировать,<b>Terroriser</b> les habitants.,<b>Терроризировать</b> жителей.,😱,v
une armure,доспехи,Une <b>armure</b> de chevalier.,Рыцарские <b>доспехи</b>.,🛡️,f
inverse,обратный,Dans le sens <b>inverse</b>.,В <b>обратном</b> направлении.,↩️,adj
"martial, martiale",боевой,Les arts <b>martiaux</b>.,<b>Боевые</b> искусства.,🥋,adj
une modestie,скромность,Avec <b>modestie</b>.,Со <b>скромностью</b>.,😊,f
rallumer,снова зажигать,<b>Rallumer</b> la lumière.,<b>Снова зажечь</b> свет.,💡,v
une lâcheté,трусость,Une <b>lâcheté</b> honteuse.,Позорная <b>трусость</b>.,😔,f
un marrant,весельчак,C'est un <b>marrant</b>.,Он <b>весельчак</b>.,😄,m
"roman, romane",романский,L'art <b>roman</b>.,<b>Романское</b> искусство.,🏛️,adj
un karma,карма,Le <b>karma</b> positif.,Позитивная <b>карма</b>.,☯️,m
illustre,знаменитый,Un <b>illustre</b> écrivain.,<b>Знаменитый</b> писатель.,⭐,adj
un concept,концепт,Un <b>concept</b> innovant.,Инновационный <b>концепт</b>.,💡,m
"fondamental, fondamentale",фундаментальный,Une question <b>fondamentale</b>.,<b>Фундаментальный</b> вопрос.,🏛️,adj
épater,поражать,<b>Épater</b> la galerie.,<b>Поразить</b> публику.,🤩,v
un mécanicien,механик,Le <b>mécanicien</b> répare.,<b>Механик</b> ремонтирует.,🔧,m
compenser,компенсировать,<b>Compenser</b> une perte.,<b>Компенсировать</b> потерю.,⚖️,v
un sauvetage,спасение,Une opération de <b>sauvetage</b>.,<b>Спасательная</b> операция.,🚨,m
une garnison,гарнизон,La <b>garnison</b> de la ville.,<b>Гарнизон</b> города.,🪖,f
imperceptible,незаметный,Un changement <b>imperceptible</b>.,<b>Незаметное</b> изменение.,🔍,adj
une gamelle,котелок,Manger à la <b>gamelle</b>.,Есть из <b>котелка</b>.,🍲,f
un naufrage,кораблекрушение,Survivre au <b>naufrage</b>.,Выжить после <b>кораблекрушения</b>.,🚢,m
un souverain,государь,Le <b>souverain</b> du royaume.,<b>Государь</b> королевства.,👑,m
un claquement,хлопок,Un <b>claquement</b> de porte.,<b>Хлопок</b> двери.,🚪,m
un feutre,фломастер; фетр,Écrire au <b>feutre</b>.,Писать <b>фломастером</b>.,🖊️,m
limpide,прозрачный,Une eau <b>limpide</b>.,<b>Прозрачная</b> вода.,💧,adj
un formulaire,формуляр,Remplir un <b>formulaire</b>.,Заполнить <b>формуляр</b>.,📝,m
une séquence,последовательность,Une <b>séquence</b> vidéo.,Видео<b>последовательность</b>.,🎬,f
un trac,мандраж,Avoir le <b>trac</b>.,Иметь <b>мандраж</b>.,😰,m
marmonner,бормотать,<b>Marmonner</b> une réponse.,<b>Пробормотать</b> ответ.,🗣️,v
un désarroi,замешательство,Un grand <b>désarroi</b>.,Большое <b>замешательство</b>.,😵,m
"anxieux, anxieuse",тревожный,Un regard <b>anxieux</b>.,<b>Тревожный</b> взгляд.,😟,adj
une contradiction,противоречие,Une <b>contradiction</b> flagrante.,Явное <b>противоречие</b>.,↔️,f
un communisme,коммунизм,Le <b>communisme</b> soviétique.,Советский <b>коммунизм</b>.,☭,m
enjamber,перешагивать,<b>Enjamber</b> un obstacle.,<b>Перешагнуть</b> препятствие.,🚶,v
une anecdote,анекдот,Raconter une <b>anecdote</b>.,Рассказать <b>анекдот</b>.,😂,f
river,приковывать,<b>River</b> les yeux.,<b>Приковать</b> взгляд.,👀,v
une devise,девиз,La <b>devise</b> nationale.,Национальный <b>девиз</b>.,🏳️,f
"libéré, libérée",освобождённый,Un prisonnier <b>libéré</b>.,<b>Освобождённый</b> заключённый.,🔓,adj
"suspendu, suspendue",подвешенный,Un pont <b>suspendu</b>.,<b>Подвесной</b> мост.,🌉,adj
une grappe,гроздь,Une <b>grappe</b> de raisin.,<b>Гроздь</b> винограда.,🍇,f
un canot,лодка,Un <b>canot</b> de sauvetage.,<b>Спасательная</b> лодка.,🚣,m
dispenser,освобождать,<b>Dispenser</b> d'un cours.,<b>Освободить</b> от занятия.,📚,v
une argile,глина,Modeler l'<b>argile</b>.,Лепить из <b>глины</b>.,🏺,f
une bribe,обрывок,Des <b>bribes</b> de conversation.,<b>Обрывки</b> разговора.,👂,f
un pionnier,пионер,Un <b>pionnier</b> de l'aviation.,<b>Пионер</b> авиации.,✈️,m
"ravi, ravie",в восторге,Je suis <b>ravi</b>.,Я <b>в восторге</b>.,😊,adj
réviser,пересматривать,<b>Réviser</b> ses leçons.,<b>Повторять</b> уроки.,📚,v
une algue,водоросль,Des <b>algues</b> marines.,Морские <b>водоросли</b>.,🌿,f
une gendarmerie,жандармерия,Aller à la <b>gendarmerie</b>.,Идти в <b>жандармерию</b>.,🚔,f
daigner,соизволить,<b>Daigner</b> répondre.,<b>Соизволить</b> ответить.,🙄,v
une interprétation,интерпретация,Une <b>interprétation</b> libre.,Свободная <b>интерпретация</b>.,🎭,f
une distribution,распределение,La <b>distribution</b> des prix.,<b>Раздача</b> призов.,🏆,f
une gym,гимнастика (разг.),Faire de la <b>gym</b>.,Заниматься <b>гимнастикой</b>.,🤸,f
une réforme,реформа,Une <b>réforme</b> du système.,<b>Реформа</b> системы.,📋,f
"antérieur, antérieure",предыдущий,La période <b>antérieure</b>.,<b>Предыдущий</b> период.,⏮️,adj
un consul,консул,Le <b>consul</b> de France.,<b>Консул</b> Франции.,🏛️,m
"administratif, administrative",административный,Un document <b>administratif</b>.,<b>Административный</b> документ.,📄,adj
"tiré, tirée",натянутый; измученный,Avoir les traits <b>tirés</b>.,Иметь <b>измученный</b> вид.,😩,adj
reconduire,провожать,<b>Reconduire</b> un invité.,<b>Проводить</b> гостя.,🚪,v
un cube,куб,Un <b>cube</b> de glace.,<b>Кубик</b> льда.,🧊,m
un olivier,оливковое дерево,Un <b>olivier</b> centenaire.,Столетняя <b>олива</b>.,🌳,m
inerte,инертный,Un corps <b>inerte</b>.,<b>Безжизненное</b> тело.,😵,adj
un vif,живое; суть,Entrer dans le <b>vif</b> du sujet.,Перейти к <b>сути</b> дела.,🎯,m
cramponner,цепляться,Se <b>cramponner</b> à la rampe.,<b>Цепляться</b> за перила.,✊,v
"égyptien, égyptienne",египетский,L'art <b>égyptien</b>.,<b>Египетское</b> искусство.,🏛️,adj
un metteur,постановщик,Un <b>metteur</b> en scène.,<b>Режиссёр</b>-постановщик.,🎬,m
un attachement,привязанность,Un <b>attachement</b> profond.,Глубокая <b>привязанность</b>.,❤️,m
un lycéen,лицеист,Un jeune <b>lycéen</b>.,Молодой <b>лицеист</b>.,🎓,m
une émeute,бунт,Une <b>émeute</b> de rue.,Уличный <b>бунт</b>.,😤,f
un militant,активист,Un <b>militant</b> politique.,Политический <b>активист</b>.,✊,m
une irruption,вторжение,Faire <b>irruption</b>.,<b>Ворваться</b>.,🚪,f
adoucir,смягчать,<b>Adoucir</b> les moeurs.,<b>Смягчать</b> нравы.,😊,v
un maïs,кукуруза,Un épi de <b>maïs</b>.,Початок <b>кукурузы</b>.,🌽,m
une procession,процессия,Une <b>procession</b> religieuse.,Религиозная <b>процессия</b>.,⛪,f
un défunt,покойный,Le <b>défunt</b> roi.,<b>Покойный</b> король.,🕯️,m
une fusion,слияние,Une <b>fusion</b> d'entreprises.,<b>Слияние</b> компаний.,🤝,f
"miraculeux, miraculeuse",чудесный,Une guérison <b>miraculeuse</b>.,<b>Чудесное</b> исцеление.,✨,adj
une vermine,вредители,Exterminer la <b>vermine</b>.,Истребить <b>вредителей</b>.,🐀,f
"errant, errante",бродячий,Un chien <b>errant</b>.,<b>Бродячая</b> собака.,🐕,adj
un noyau,ядро,Le <b>noyau</b> de la cellule.,<b>Ядро</b> клетки.,⚛️,m
un labyrinthe,лабиринт,Se perdre dans le <b>labyrinthe</b>.,Заблудиться в <b>лабиринте</b>.,🌀,m
éduquer,воспитывать,<b>Éduquer</b> les enfants.,<b>Воспитывать</b> детей.,👨‍👧,v
"formel, formelle",формальный,Une demande <b>formelle</b>.,<b>Формальный</b> запрос.,📋,adj
"organisé, organisée",организованный,Un voyage <b>organisé</b>.,<b>Организованная</b> поездка.,📋,adj
"musulman, musulmane",мусульманский,La religion <b>musulmane</b>.,<b>Мусульманская</b> религия.,☪️,adj
contester,оспаривать,<b>Contester</b> une décision.,<b>Оспаривать</b> решение.,✋,v
une superbe,великолепие; надменность,Dans toute sa <b>superbe</b>.,Во всём своём <b>великолепии</b>.,✨,f
"mouvant, mouvante",зыбкий,Des sables <b>mouvants</b>.,<b>Зыбучие</b> пески.,🏜️,adj
un atterrissage,посадка,Un <b>atterrissage</b> en douceur.,Мягкая <b>посадка</b>.,✈️,m
une brutalité,жестокость,Une <b>brutalité</b> policière.,Полицейская <b>жестокость</b>.,😠,f
rebondir,отскакивать,Le ballon <b>rebondit</b>.,Мяч <b>отскакивает</b>.,🏀,v
un insu,неведение,À mon <b>insu</b>.,<b>Без моего ведома</b>.,❓,m
mouvoir,двигать,Se <b>mouvoir</b> lentement.,<b>Двигаться</b> медленно.,🚶,v
"épatant, épatante",потрясающий,Une nouvelle <b>épatante</b>.,<b>Потрясающая</b> новость.,🤩,adj
un beignet,пончик,Un <b>beignet</b> au chocolat.,Шоколадный <b>пончик</b>.,🍩,m
un escadron,эскадрон,Un <b>escadron</b> de cavalerie.,<b>Эскадрон</b> кавалерии.,🐎,m
une coulisse,кулиса,Dans les <b>coulisses</b>.,За <b>кулисами</b>.,🎭,f
broncher,спотыкаться,Sans <b>broncher</b>.,Не <b>дрогнув</b>.,💪,v
un chapelet,чётки,Réciter son <b>chapelet</b>.,Читать по <b>чёткам</b>.,📿,m
un recoin,закуток,Dans tous les <b>recoins</b>.,Во всех <b>закоулках</b>.,🏠,m
palper,ощупывать,<b>Palper</b> un objet.,<b>Ощупывать</b> предмет.,✋,v
une infanterie,пехота,L'<b>infanterie</b> légère.,Лёгкая <b>пехота</b>.,🪖,f
"mat, mate",матовый,Un fini <b>mat</b>.,<b>Матовая</b> поверхность.,⬜,adj
exemplaire,образцовый,Un comportement <b>exemplaire</b>.,<b>Образцовое</b> поведение.,⭐,adj
"voulu, voulue",намеренный; желанный,Un effet <b>voulu</b>.,<b>Намеренный</b> эффект.,🎯,adj
une bourgeoisie,буржуазия,La <b>bourgeoisie</b> française.,Французская <b>буржуазия</b>.,🎩,f
une plate-forme,платформа,Une <b>plate-forme</b> pétrolière.,Нефтяная <b>платформа</b>.,🏗️,f
"futé, futée",смышлёный,Un enfant <b>futé</b>.,<b>Смышлёный</b> ребёнок.,🧒,adj
un porno,порно,Un film <b>porno</b>.,<b>Порно</b> фильм.,🔞,m
une loterie,лотерея,Gagner à la <b>loterie</b>.,Выиграть в <b>лотерею</b>.,🎰,f
"immortel, immortelle",бессмертный,Un amour <b>immortel</b>.,<b>Бессмертная</b> любовь.,❤️,adj
sceller,запечатывать,<b>Sceller</b> un pacte.,<b>Скрепить</b> договор.,📜,v
une succession,наследство,Une <b>succession</b> difficile.,Сложное <b>наследство</b>.,💰,f
extraterrestre,инопланетный,Une vie <b>extraterrestre</b>.,<b>Инопланетная</b> жизнь.,👽,m/f
neiger,идти (о снеге),Il <b>neige</b> fort.,<b>Идёт</b> сильный снег.,❄️,v
un pignon,шестерня; щипец,Le <b>pignon</b> d'une maison.,<b>Фронтон</b> дома.,🏠,m
rajeunir,омолаживать,<b>Rajeunir</b> son look.,<b>Омолодить</b> образ.,✨,v
requérir,требовать,<b>Requérir</b> de l'aide.,<b>Требовать</b> помощи.,📢,v
bouder,дуться,<b>Bouder</b> dans son coin.,<b>Дуться</b> в углу.,😤,v
