French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
des mitaines,варежки; перчатки,f pl,N'oublie pas tes <b>mitaines</b> !,Не забудь <b>варежки</b>!,"Québec. France: des moufles, des gants.",🧤,québec_vocab
un chandail,свитер; кофта,m,"Mets un <b>chandail</b>, il fait froid.","Надень <b>свитер</b>, холодно.",Québec. France: un pull.,🧥,québec_vocab
des bas,носки,m pl,Il me faut des <b>bas</b> chauds pour l'hiver.,Мне нужны тёплые <b>носки</b> на зиму.,Québec. France: des chaussettes.,🧦,québec_vocab
des bobettes,трусы; нижнее бельё,f pl,Change tes <b>bobettes</b> !,Смени <b>трусы</b>!,"Québec. Familier. France: slip, caleçon.",🩲,québec_vocab
des gougounes,шлёпанцы; сланцы,f pl,"En été, je porte toujours des <b>gougounes</b>.",Летом я всегда ношу <b>шлёпанцы</b>.,Québec. Aussi: babouches. France: des tongs.,🩴,québec_vocab
des espadrilles,кроссовки,f pl,J'ai acheté des nouvelles <b>espadrilles</b> pour courir.,Купил новые <b>кроссовки</b> для бега.,Québec. France: des baskets. ⚠️ Faux ami!,👟,québec_vocab
un costume de bain,купальник; плавки,m,N'oublie pas ton <b>costume de bain</b> pour la piscine.,Не забудь <b>купальник</b> для бассейна.,Québec. France: maillot de bain.,🩱,québec_vocab
un dépanneur; un dep,магазинчик; минимаркет,m,Je vais au <b>dep</b> chercher du lait.,Иду в <b>магазин</b> за молоком.,"Québec uniquement. France: supérette, épicerie.",🏪,québec_vocab
magasiner,ходить по магазинам,v,J'aime <b>magasiner</b> le samedi.,Люблю <b>ходить по магазинам</b> в субботу.,Québec. France: faire du shopping.,🛍️,québec_vocab
une piasse; une piastre,доллар (канадский),f,Ça coûte dix <b>piasses</b>.,Это стоит десять <b>баксов</b>.,Québec. Familier.,💵,québec_vocab
le tip,чаевые,m,N'oublie pas de laisser un <b>tip</b>.,Не забудь оставить <b>чаевые</b>.,Québec (anglicisme). France: le pourboire.,💰,québec_vocab
tiper,давать чаевые,v,"Au Québec, on <b>tipe</b> 15-20%.",В Квебеке <b>дают чаевые</b> 15-20%.,Québec. France: laisser un pourboire.,💸,québec_vocab
la fin de semaine,выходные,f,Qu'est-ce que tu fais en <b>fin de semaine</b> ?,Что делаешь на <b>выходных</b>?,Québec. France: le week-end.,📅,québec_vocab
la fête,день рождения,f,"C'est ma <b>fête</b> demain, j'ai 30 ans !","Завтра мой <b>день рождения</b>, мне 30!",Québec. France: anniversaire.,🎂,québec_vocab
un courriel,электронная почта; имейл,m,Envoie-moi un <b>courriel</b> avec les détails.,Отправь мне <b>имейл</b> с деталями.,"Québec (officiel). France: e-mail, mail.",📧,québec_vocab
un cellulaire,мобильный телефон,m,Appelle-moi sur mon <b>cellulaire</b>.,Позвони мне на <b>мобильный</b>.,Québec. France: un portable.,📱,québec_vocab
barrer,закрывать на ключ,v,N'oublie pas de <b>barrer</b> la porte.,Не забудь <b>закрыть</b> дверь на ключ.,Québec. France: fermer à clé.,🔐,québec_vocab
canceller,отменять,v,J'ai dû <b>canceller</b> mon rendez-vous.,Мне пришлось <b>отменить</b> встречу.,Québec (anglicisme). France: annuler.,❌,québec_vocab
une débarbouillette,мочалка для лица,f,Passe-moi la <b>débarbouillette</b>.,Передай мне <b>мочалку</b>.,Québec. France: gant de toilette.,🧽,québec_vocab
une laveuse,стиральная машина,f,La <b>laveuse</b> est au sous-sol.,<b>Стиральная машина</b> в подвале.,Québec. France: machine à laver.,🧺,québec_vocab
une sécheuse,сушильная машина,f,Mets le linge dans la <b>sécheuse</b>.,Положи бельё в <b>сушилку</b>.,Québec. France: sèche-linge.,👕,québec_vocab
la pâte à dents,зубная паста,f,Il me faut de la <b>pâte à dents</b>.,Мне нужна <b>зубная паста</b>.,Québec. France: le dentifrice.,🦷,québec_vocab
frette,холодно (о погоде),adj,"Il fait <b>frette</b> aujourd'hui, moins 30 !","Сегодня <b>холодно</b>, минус 30!",Québec. Prononciation de froid.,🥶,québec_vocab
un maringouin,комар,m,Les <b>maringouins</b> sont terribles cet été.,<b>Комары</b> ужасные этим летом.,Québec. France: un moustique.,🦟,québec_vocab
une bibitte,насекомое; букашка,f,Il y a une <b>bibitte</b> dans ma chambre !,В моей комнате <b>какое-то насекомое</b>!,Québec. Familier. France: un insecte.,🐛,québec_vocab
la poudrerie,метель; позёмка,f,"Attention sur la route, il y a de la <b>poudrerie</b>.","Осторожно на дороге, там <b>позёмка</b>.",Québec. France: le blizzard.,❄️🌬️,québec_vocab
la slotche,снежная каша,f,Il y a de la <b>slotche</b> partout sur les trottoirs.,Везде на тротуарах <b>снежная каша</b>.,Québec. France: neige fondue.,🌨️,québec_vocab
tabarnak,блин!; чёрт! (сильное),interj,"<b>Tabarnak</b>, j'ai raté mon bus !","<b>Чёрт</b>, я опоздал на автобус!",⚠️ Vulgaire. Origine: tabernacle (церковный ковчег). Самый сильный sacre.,🤬,québec_sacres
câlice; calice,блин!; чёрт!,interj,"<b>Câlice</b>, il pleut encore !","<b>Чёрт</b>, опять дождь!",⚠️ Vulgaire. Origine: calice (чаша для причастия).,😤,québec_sacres
crisse; criss,чёрт!; блин!,interj,<b>Crisse</b> que c'est beau le Québec !,"<b>Чёрт</b>, как красиво в Квебеке!",⚠️ Vulgaire. Origine: Christ. Aussi adverbe: crissement.,😠,québec_sacres
ostie; osti,блин!; чёрт!,interj,<b>Ostie</b> que j'suis tanné !,"<b>Блин</b>, как я устал!",⚠️ Vulgaire. Origine: hostie (облатка для причастия).,😤,québec_sacres
sacrament,чёрт побери!,interj,"<b>Sacrament</b>, j'ai oublié mes clés !","<b>Чёрт побери</b>, я забыл ключи!",⚠️ Vulgaire. Origine: sacrement (таинство).,🤦,québec_sacres
ciboire,чёрт!; блин!,interj,"<b>Ciboire</b>, c'est cher !","<b>Блин</b>, как дорого!",⚠️ Vulgaire. Origine: ciboire (дароносица).,😲,québec_sacres
baptême,чёрт!,interj,"<b>Baptême</b>, qu'est-ce qui s'est passé ?","<b>Чёрт</b>, что случилось?",⚠️ Vulgaire. Origine: baptême (крещение).,😯,québec_sacres
maudit,чёртов; проклятый,adj,Cette <b>maudite</b> machine ne marche pas !,Эта <b>чёртова</b> машина не работает!,⚠️ Familier/Vulgaire. Origine: maudit (проклятый).,👿,québec_sacres
tabarnouche,блин! (мягкая форма),interj,"<b>Tabarnouche</b>, j'ai encore perdu !","<b>Блин</b>, я опять проиграл!",Euphémisme de tabarnak. Менее грубо.,😅,québec_sacres
câline; câline de bine,блин! (мягкая форма),interj,"<b>Câline</b>, c'est compliqué !","<b>Блин</b>, это сложно!",Euphémisme de câlice. Acceptable.,😊,québec_sacres
crime,блин! (мягкая форма),interj,"<b>Crime</b>, j'ai oublié !","<b>Блин</b>, я забыл!",Euphémisme de crisse. Acceptable.,🙄,québec_sacres
mautadit,чёртов (мягкая форма),adj,Ce <b>mautadit</b> ordinateur est lent !,Этот <b>чёртов</b> компьютер тормозит!,Euphémisme de maudit. Менее грубо.,💻,québec_sacres
simonac,чёрт! (мягкая форма),interj,"<b>Simonac</b>, c'est loin !","<b>Чёрт</b>, как далеко!",Euphémisme. Acceptable.,😮,québec_sacres
viarge,чёрт! (мягкая форма),interj,"<b>Viarge</b>, il fait chaud !","<b>Чёрт</b>, как жарко!",Euphémisme (от Vierge Marie). Acceptable.,🥵,québec_sacres
mosus,чёртов (мягкая форма),adj,Ce <b>mosus</b> de projet prend du temps !,Этот <b>чёртов</b> проект занимает много времени!,Euphémisme. Acceptable.,😤,québec_sacres
être en tabarnak,быть в ярости,expr,Mon père était <b>en tabarnak</b> quand il a vu la facture.,"Мой папа был <b>в ярости</b>, когда увидел счёт.",⚠️ Vulgaire. Sacre comme adverbe d'intensité.,🤬😡,québec_sacres
en crisse,очень; ужасно (интенсификатор),expr,Il fait froid <b>en crisse</b> !,<b>Ужасно</b> холодно!,⚠️ Vulgaire. Sacre comme intensificateur.,🥶,québec_sacres
crissement,очень; чертовски,adv,C'est <b>crissement</b> bon !,Это <b>чертовски</b> вкусно!,⚠️ Vulgaire. Dérivé de crisse.,😋,québec_sacres
Mieux vaut prévenir que guérir.,"Лучше предупредить, чем лечить.",expr,<b>Mieux vaut prévenir que guérir</b> : faites-vous vacciner !,"<b>Лучше предупредить, чем лечить</b>: сделайте прививку!",Proverbe. О профилактике и предусмотрительности.,💉🛡️,proverbes
Petit à petit l'oiseau fait son nid.,Терпение и труд всё перетрут.,expr,"Ne te décourage pas, <b>petit à petit l'oiseau fait son nid</b>.","Не отчаивайся, <b>терпение и труд всё перетрут</b>.",Proverbe. О терпении и настойчивости.,🐦🪺,proverbes
C'est en forgeant qu'on devient forgeron.,Повторение — мать учения.,expr,"Continue à pratiquer, <b>c'est en forgeant qu'on devient forgeron</b>.","Продолжай практиковаться, <b>повторение — мать учения</b>.",Proverbe. О практике и мастерстве. Дословно: куя становятся кузнецом.,🔨⚒️,proverbes
L'habit ne fait pas le moine.,Внешность обманчива.,expr,"Il a l'air pauvre, mais <b>l'habit ne fait pas le moine</b>.","Он выглядит бедным, но <b>внешность обманчива</b>.",Proverbe. Дословно: одежда не делает монаха. Также: по одёжке встречают.,👔🧑‍⚖️,proverbes
"Après la pluie, le beau temps.",После дождя будет солнце.,expr,"Ne t'inquiète pas, <b>après la pluie, le beau temps</b>.","Не волнуйся, <b>после дождя будет солнце</b>.",Proverbe. Плохое сменится хорошим.,🌧️☀️,proverbes
Tout vient à point à qui sait attendre.,Всё приходит к тому кто ждёт.,expr,"Sois patient, <b>tout vient à point à qui sait attendre</b>.","Будь терпелив, <b>всё приходит к тому, кто умеет ждать</b>.",Proverbe. О терпении.,⏳✨,proverbes
Rome ne s'est pas faite en un jour.,Москва не сразу строилась.,expr,"Ce projet prend du temps, <b>Rome ne s'est pas faite en un jour</b>.","Проект занимает время, <b>Рим не за один день построили</b>.",Proverbe. Великие дела требуют времени.,🏛️📅,proverbes
Qui veut la fin veut les moyens.,Цель оправдывает средства.,expr,"Pour réussir, il faut travailler : <b>qui veut la fin veut les moyens</b>.","Чтобы добиться успеха, надо работать: <b>цель оправдывает средства</b>.",Proverbe. О готовности использовать все способы.,🎯💪,proverbes
L'argent ne fait pas le bonheur.,Не в деньгах счастье.,expr,Il est riche mais malheureux : <b>l'argent ne fait pas le bonheur</b>.,"Он богат, но несчастен: <b>не в деньгах счастье</b>.",Proverbe. Деньги — не главное.,💰😊,proverbes
Les bons comptes font les bons amis.,Счёт дружбы не портит.,expr,"Rembourse-moi ce soir, <b>les bons comptes font les bons amis</b>.","Верни мне сегодня вечером, <b>счёт дружбы не портит</b>.",Proverbe. О честности в денежных делах.,💵🤝,proverbes
"Aide-toi, le ciel t'aidera.","На Бога надейся, а сам не плошай.",expr,"N'attends pas un miracle, <b>aide-toi, le ciel t'aidera</b>.","Не жди чуда, <b>на Бога надейся, а сам не плошай</b>.",Proverbe. О необходимости действовать самому.,🙏💪,proverbes
On ne fait pas d'omelette sans casser des œufs.,Лес рубят — щепки летят.,expr,"Il y aura des sacrifices, <b>on ne fait pas d'omelette sans casser des œufs</b>.","Будут жертвы, <b>лес рубят — щепки летят</b>.",Proverbe. О неизбежных издержках.,🥚🍳,proverbes
Tout ce qui brille n'est pas or.,"Не всё то золото, что блестит.",expr,"Méfie-toi de cette offre, <b>tout ce qui brille n'est pas or</b>.","Не доверяй этому предложению, <b>не всё то золото, что блестит</b>.",Proverbe. Внешность обманчива.,✨💎,proverbes
À cheval donné on ne regarde pas les dents.,Дарёному коню в зубы не смотрят.,expr,"C'est gratuit, <b>à cheval donné on ne regarde pas les dents</b>.","Это бесплатно, <b>дарёному коню в зубы не смотрят</b>.",Proverbe. О благодарности за подарки.,🐴🎁,proverbes
Il ne faut pas remettre à demain ce qu'on peut faire aujourd'hui.,"Не откладывай на завтра то, что можно сделать сегодня.",expr,"Fais-le maintenant, <b>il ne faut pas remettre à demain ce qu'on peut faire aujourd'hui</b>.","Сделай сейчас, <b>не откладывай на завтра</b>.",Proverbe. О своевременности действий.,📅✅,proverbes
Il n'y a pas de fumée sans feu.,Нет дыма без огня.,expr,Ces rumeurs... <b>Il n'y a pas de fumée sans feu</b>.,Эти слухи... <b>Нет дыма без огня</b>.,Proverbe. Слухи имеют основание.,💨🔥,proverbes
À l'impossible nul n'est tenu.,Невозможного не требуют.,expr,"J'ai fait de mon mieux, <b>à l'impossible nul n'est tenu</b>.","Я сделал всё возможное, <b>невозможного не требуют</b>.",Proverbe. О разумных ожиданиях.,🚫💯,proverbes
"Quand le vin est tiré, il faut le boire.",Назвался груздем — полезай в кузов.,expr,"Tu as commencé, <b>quand le vin est tiré, il faut le boire</b>.","Ты начал, <b>назвался груздем — полезай в кузов</b>.",Proverbe. О завершении начатого.,🍷✊,proverbes
Chat échaudé craint l'eau froide.,"Обжёгшись на молоке, дуют на воду.",expr,"Après son accident, <b>chat échaudé craint l'eau froide</b>.",После аварии он <b>дует на воду</b>.,Proverbe. Об осторожности после неудачи.,🐱💧,proverbes
"À bon chat, bon rat.",Нашла коса на камень.,expr,"Il a trouvé un adversaire à sa mesure : <b>à bon chat, bon rat</b>.",Он нашёл достойного соперника: <b>нашла коса на камень</b>.,Proverbe. О равных противниках.,🐱🐭,proverbes
"Quand le chat n'est pas là, les souris dansent.",Кот из дому — мыши в пляс.,expr,"Le patron est absent, <b>quand le chat n'est pas là, les souris dansent</b> !","Начальника нет, <b>кот из дому — мыши в пляс</b>!",Proverbe. О поведении без контроля.,🐱🐭💃,proverbes
La nuit tous les chats sont gris.,Ночью все кошки серы.,expr,"Dans l'obscurité, difficile de distinguer, <b>la nuit tous les chats sont gris</b>.","В темноте трудно различить, <b>ночью все кошки серы</b>.",Proverbe. В темноте всё одинаково.,🌙🐱,proverbes
"Les chiens aboient, la caravane passe.",Собаки лают — караван идёт.,expr,"Ignore les critiques, <b>les chiens aboient, la caravane passe</b>.","Игнорируй критику, <b>собаки лают, караван идёт</b>.",Proverbe. Не обращай внимание на критиков.,🐕🐫,proverbes
Les chiens ne font pas des chats.,Яблоко от яблони недалеко падает.,expr,"Son fils lui ressemble, <b>les chiens ne font pas des chats</b>.","Сын похож на него, <b>яблоко от яблони недалеко падает</b>.",Proverbe. О наследственности.,🐕🐱,proverbes
Qui couche avec des chiens se lève avec des puces.,"С кем поведёшься, от того и наберёшься.",expr,Fais attention à tes fréquentations : <b>qui couche avec des chiens se lève avec des puces</b>.,"Смотри, с кем дружишь: <b>с кем поведёшься, от того и наберёшься</b>.",Proverbe. О влиянии окружения.,🐕🦟,proverbes
La faim chasse le loup hors du bois.,Голод не тётка.,expr,"Il a dû accepter ce travail, <b>la faim chasse le loup hors du bois</b>.","Ему пришлось согласиться, <b>голод не тётка</b>.",Proverbe. Нужда заставляет действовать.,🐺🌲,proverbes
Les loups ne se mangent pas entre eux.,Ворон ворону глаз не выклюет.,expr,"Les politiciens se protègent, <b>les loups ne se mangent pas entre eux</b>.","Политики защищают друг друга, <b>ворон ворону глаз не выклюет</b>.",Proverbe. О солидарности среди своих.,🐺🤝,proverbes
"Quand on parle du loup, on en voit la queue.",Лёгок на помине.,expr,"Tiens, le voilà ! <b>Quand on parle du loup, on en voit la queue</b>.","О, вот и он! <b>Лёгок на помине</b>.",Proverbe. Когда говорят о ком-то — он появляется.,🐺👀,proverbes
Ce n'est pas à un vieux singe qu'on apprend à faire des grimaces.,Яйца курицу не учат.,expr,"Je connais ces astuces, <b>ce n'est pas à un vieux singe qu'on apprend à faire des grimaces</b>.","Я знаю эти трюки, <b>яйца курицу не учат</b>.",Proverbe. Об опыте старших.,🐒😏,proverbes
Une hirondelle ne fait pas le printemps.,Одна ласточка весны не делает.,expr,"Un succès ne suffit pas, <b>une hirondelle ne fait pas le printemps</b>.","Одного успеха мало, <b>одна ласточка весны не делает</b>.",Proverbe. Единичный случай не показателен.,🐦🌸,proverbes
On a souvent besoin d'un plus petit que soi.,И маленький может пригодиться.,expr,"N'ignore personne, <b>on a souvent besoin d'un plus petit que soi</b>.","Не пренебрегай никем, <b>и маленький может пригодиться</b>.",Proverbe. Из басни Лафонтена. О взаимопомощи.,🐭🦁,proverbes
Pierre qui roule n'amasse pas mousse.,"Кому на месте не сидится, тот добра не наживёт.",expr,"À force de changer de travail, <b>pierre qui roule n'amasse pas mousse</b>.","Часто меняя работу, <b>ничего не накопишь</b>.",Proverbe. О стабильности и постоянстве.,🪨🌿,proverbes
C'est au pied du mur qu'on voit le maçon.,Видно мастера по работе.,expr,"On verra s'il est compétent, <b>c'est au pied du mur qu'on voit le maçon</b>.","Посмотрим, компетентен ли он, <b>видно мастера по работе</b>.",Proverbe. Дословно: у стены виден каменщик. О проверке делом.,🧱👷,proverbes
Les cordonniers sont les plus mal chaussés.,Сапожник без сапог.,expr,Ce médecin fume ! <b>Les cordonniers sont les plus mal chaussés</b>.,Этот врач курит! <b>Сапожник без сапог</b>.,Proverbe. О том кто не применяет навыки к себе.,👞🔧,proverbes
Mieux vaut tard que jamais.,"Лучше поздно, чем никогда.",expr,Tu as fini ? <b>Mieux vaut tard que jamais</b> !,"Ты закончил? <b>Лучше поздно, чем никогда</b>!",Proverbe. Лучше сделать поздно чем не сделать.,⏰✅,proverbes
À chaque jour suffit sa peine.,Будет день — будет пища.,expr,"Ne t'inquiète pas pour demain, <b>à chaque jour suffit sa peine</b>.","Не беспокойся о завтра, <b>будет день — будет пища</b>.",Proverbe. Из Библии. Жить настоящим.,📅😌,proverbes
Faute avouée est à moitié pardonnée.,Повинную голову меч не сечёт.,expr,"Admets ton erreur, <b>faute avouée est à moitié pardonnée</b>.","Признай ошибку, <b>повинную голову меч не сечёт</b>.",Proverbe. О признании вины.,🙏😇,proverbes
Faute de grives on mange des merles.,На безрыбье и рак рыба.,expr,"Pas de restaurant ? On mange ici, <b>faute de grives on mange des merles</b>.","Нет ресторана? Едим здесь, <b>на безрыбье и рак рыба</b>.",Proverbe. Довольствоваться тем что есть.,🐦🍽️,proverbes
Qui sème le vent récolte la tempête.,"Кто сеет ветер, пожнёт бурю.",expr,"Il a été méchant, <b>qui sème le vent récolte la tempête</b>.","Он поступал плохо, <b>кто сеет ветер, пожнёт бурю</b>.",Proverbe. О последствиях плохих поступков.,🌬️🌪️,proverbes
Qui se ressemble s'assemble.,Рыбак рыбака видит издалека.,expr,"Ils sont devenus amis, <b>qui se ressemble s'assemble</b>.","Они подружились, <b>рыбак рыбака видит издалека</b>.",Proverbe. Похожие люди сближаются.,👯‍♂️,proverbes
"Vouloir, c'est pouvoir.","Где хотенье, там и уменье.",expr,"Tu peux réussir si tu le veux vraiment, <b>vouloir c'est pouvoir</b>.","Ты сможешь, если захочешь, <b>где хотенье, там и уменье</b>.",Proverbe. О силе воли.,💪🎯,proverbes
"Loin des yeux, loin du cœur.",С глаз долой — из сердца вон.,expr,"Depuis qu'il est parti, <b>loin des yeux, loin du cœur</b>.","С тех пор как он уехал, <b>с глаз долой — из сердца вон</b>.",Proverbe. О забывании тех кто далеко.,👀💔,proverbes
L'appétit vient en mangeant.,Аппетит приходит во время еды.,expr,"Goûte d'abord, <b>l'appétit vient en mangeant</b>.","Сначала попробуй, <b>аппетит приходит во время еды</b>.",Proverbe. Интерес растёт в процессе.,🍽️😋,proverbes
"Qui ne risque rien, n'a rien.","Кто не рискует, тот не пьёт шампанского.",expr,Lance-toi ! <b>Qui ne risque rien n'a rien</b>.,"Попробуй! <b>Кто не рискует, тот не пьёт шампанского</b>.",Proverbe. О необходимости рисковать.,🎲🏆,proverbes
Rira bien qui rira le dernier.,"Хорошо смеётся тот, кто смеётся последним.",expr,"Ne te moque pas trop vite, <b>rira bien qui rira le dernier</b>.","Не смейся слишком рано, <b>хорошо смеётся тот, кто смеётся последним</b>.",Proverbe. О конечном результате.,😂🏁,proverbes
Il faut battre le fer tant qu'il est chaud.,"Куй железо, пока горячо.",expr,C'est le moment ! <b>Il faut battre le fer tant qu'il est chaud</b>.,"Сейчас самое время! <b>Куй железо, пока горячо</b>.",Proverbe. О своевременности действий.,🔨🔥,proverbes
Qui vivra verra.,Поживём — увидим.,expr,"On ne sait pas ce qui arrivera, <b>qui vivra verra</b>.","Неизвестно, что будет, <b>поживём — увидим</b>.",Proverbe. О неопределённости будущего.,🔮⏳,proverbes
"Tel père, tel fils.","Каков отец, таков и сын.",expr,"Il est médecin comme son père, <b>tel père, tel fils</b>.","Он врач, как и его отец, <b>каков отец, таков и сын</b>.",Proverbe. О наследственности.,👨‍👦,proverbes
Toute vérité n'est pas bonne à dire.,Не всякую правду сказывай.,expr,"Parfois il vaut mieux se taire, <b>toute vérité n'est pas bonne à dire</b>.","Иногда лучше промолчать, <b>не всякую правду сказывай</b>.",Proverbe. О тактичности.,🤫,proverbes
"Pas de nouvelles, bonnes nouvelles.",Отсутствие новостей — хорошая новость.,expr,"Il n'appelle pas ? <b>Pas de nouvelles, bonnes nouvelles</b>.",Он не звонит? <b>Отсутствие новостей — хорошая новость</b>.,Proverbe. Молчание — хороший знак.,📵😊,proverbes
Mieux vaut être seul que mal accompagné.,"Лучше быть одному, чем в плохой компании.",expr,"Je préfère rester chez moi, <b>mieux vaut être seul que mal accompagné</b>.","Лучше останусь дома, <b>лучше быть одному, чем в плохой компании</b>.",Proverbe. О выборе окружения.,🚶‍♂️👋,proverbes
"La parole est d'argent, le silence est d'or.","Слово — серебро, молчание — золото.",expr,"Parfois il vaut mieux se taire, <b>la parole est d'argent, le silence est d'or</b>.","Иногда лучше промолчать, <b>слово — серебро, молчание — золото</b>.",Proverbe. О ценности молчания.,🗣️🤐,proverbes
Les murs ont des oreilles.,И у стен есть уши.,expr,"Parle moins fort, <b>les murs ont des oreilles</b>.","Говори тише, <b>и у стен есть уши</b>.",Proverbe. О том что могут подслушать.,🧱👂,proverbes
"Chose promise, chose due.",Давши слово — держи.,expr,"Tu as promis, <b>chose promise, chose due</b>.","Ты обещал, <b>давши слово — держи</b>.",Proverbe. Дословно: обещанное — должное. Об обязательности обещаний.,🤝✅,proverbes
Chacun voit midi à sa porte.,Своя рубашка ближе к телу.,expr,"Il défend ses intérêts, <b>chacun voit midi à sa porte</b>.","Он защищает свои интересы, <b>своя рубашка ближе к телу</b>.",Proverbe. О субъективности взглядов.,🚪☀️,proverbes
Il n'est pire sourd que celui qui ne veut pas entendre.,"Нет хуже глухого, чем тот кто не хочет слышать.",expr,"J'ai beau lui expliquer, <b>il n'est pire sourd que celui qui ne veut pas entendre</b>.","Сколько ни объясняй, <b>нет хуже глухого, чем тот, кто не хочет слышать</b>.",Proverbe. О нежелании понимать.,👂🙉,proverbes
Bien mal acquis ne profite jamais.,Чужое добро впрок не идёт.,expr,"Il a volé et tout perdu, <b>bien mal acquis ne profite jamais</b>.","Он украл и всё потерял, <b>чужое добро впрок не идёт</b>.",Proverbe. О нечестно нажитом.,💰❌,proverbes
"À père avare, fils prodigue.",У скупого отца расточительный сын.,expr,"Son père économisait, lui dépense tout : <b>à père avare, fils prodigue</b>.","Отец копил, а он всё тратит: <b>у скупого отца расточительный сын</b>.",Proverbe. О контрасте поколений.,💵👨‍👦,proverbes
d'abord,сначала; во-первых,adv,"<b>D'abord</b>, je vais présenter le contexte.",<b>Сначала</b> я представлю контекст.,"Connecteur de séquence. TEF Expression Écrite. Synonyme: tout d'abord, premièrement.",1️⃣,connecteurs
ensuite,затем; потом,adv,"<b>Ensuite</b>, nous analyserons les causes.",<b>Затем</b> мы проанализируем причины.,"Connecteur de séquence. TEF. Synonyme: puis, après.",2️⃣,connecteurs
enfin,наконец; в конце концов,adv,"<b>Enfin</b>, nous proposerons des solutions.","<b>Наконец</b>, мы предложим решения.",Connecteur de séquence/conclusion. TEF. Synonyme: finalement.,🏁,connecteurs
puis,потом; затем,adv,"J'ai lu l'article, <b>puis</b> j'ai pris des notes.","Я прочитал статью, <b>затем</b> сделал заметки.",Connecteur de séquence. Plus neutre que ensuite.,➡️,connecteurs
de plus,кроме того; более того,adv,"<b>De plus</b>, cette solution est économique.","<b>Кроме того</b>, это решение экономичное.",Connecteur d'addition. TEF B2. Synonyme: en outre.,➕,connecteurs
en outre,кроме того; помимо этого,adv,"<b>En outre</b>, il faut considérer l'aspect environnemental.","<b>Кроме того</b>, нужно учитывать экологический аспект.",Connecteur d'addition. Formel. TEF B2.,➕,connecteurs
par ailleurs,с другой стороны; кроме того,adv,"<b>Par ailleurs</b>, d'autres études confirment ces résultats.","<b>Кроме того</b>, другие исследования подтверждают эти результаты.",Connecteur d'addition. Formel. TEF B2.,📎,connecteurs
également,также; тоже,adv,Cette méthode est <b>également</b> utilisée en médecine.,Этот метод <b>также</b> используется в медицине.,Connecteur d'addition. Neutre.,🔄,connecteurs
aussi,также; тоже,adv,"Il parle français, <b>aussi</b> parle-t-il anglais.","Он говорит по-французски, <b>также</b> он говорит по-английски.",⚠️ En début de phrase: inversion sujet-verbe!,🔄,connecteurs
cependant,однако; тем не менее,adv,"Le projet est ambitieux ; <b>cependant</b>, il est réalisable.",Проект амбициозный; <b>однако</b> он реализуем.,Connecteur d'opposition. TEF B2. Très fréquent.,↔️,connecteurs
néanmoins,тем не менее; всё же,adv,"Il pleut ; <b>néanmoins</b>, je vais sortir.","Идёт дождь; <b>тем не менее</b>, я выйду.",Connecteur d'opposition. Formel. TEF B2.,↔️,connecteurs
toutefois,однако; впрочем,adv,"Cette idée est intéressante ; <b>toutefois</b>, elle pose des problèmes.",Эта идея интересная; <b>однако</b> она создаёт проблемы.,Connecteur d'opposition. Formel. TEF B2.,↔️,connecteurs
pourtant,однако; тем не менее,adv,"Il a étudié, <b>pourtant</b> il a échoué.","Он учился, <b>однако</b> провалился.",Connecteur d'opposition. Exprime la surprise.,❗↔️,connecteurs
en revanche,зато; напротив,adv,"Ce restaurant est cher ; <b>en revanche</b>, la qualité est excellente.",Этот ресторан дорогой; <b>зато</b> качество отличное.,Connecteur d'opposition. TEF B2. ⚠️ Pas pour négatif→positif: par contre.,↔️,connecteurs
par contre,зато; с другой стороны,adv,"Je n'aime pas le café ; <b>par contre</b>, j'adore le thé.",Я не люблю кофе; <b>зато</b> обожаю чай.,Connecteur d'opposition. Plus familier que en revanche.,↔️,connecteurs
au contraire,наоборот; напротив,adv,"Il n'est pas paresseux ; <b>au contraire</b>, il travaille énormément.","Он не ленивый; <b>наоборот</b>, он работает очень много.",Connecteur d'opposition forte.,🔀,connecteurs
alors que,тогда как; в то время как,conj,Il dort <b>alors que</b> tout le monde travaille.,"Он спит, <b>тогда как</b> все работают.",Connecteur d'opposition. + indicatif.,↔️,connecteurs
tandis que,тогда как; в то время как,conj,Elle étudie <b>tandis que</b> son frère joue.,"Она учится, <b>тогда как</b> её брат играет.",Connecteur d'opposition. + indicatif. Plus formel.,↔️,connecteurs
bien que,хотя; несмотря на то что,conj,"<b>Bien que</b> fatigué, il a continué.","<b>Хотя</b> он устал, он продолжил.",Connecteur de concession. ⚠️ + SUBJONCTIF!,🤔,connecteurs
quoique,хотя,conj,"<b>Quoique</b> jeune, elle est très mature.","<b>Хотя</b> она молода, она очень зрелая.",Connecteur de concession. + subjonctif. Synonyme: bien que.,🤔,connecteurs
malgré,несмотря на,prep,"<b>Malgré</b> la pluie, nous sommes sortis.","<b>Несмотря на</b> дождь, мы вышли.",Connecteur de concession. + NOM (pas de verbe!).,🌧️✊,connecteurs
en dépit de,несмотря на; вопреки,prep,"<b>En dépit de</b> ses efforts, il a échoué.","<b>Несмотря на</b> его усилия, он потерпел неудачу.",Connecteur de concession. Formel. + NOM.,🌧️✊,connecteurs
car,потому что; так как,conj,"Je reste, <b>car</b> j'ai du travail.","Я остаюсь, <b>потому что</b> у меня работа.",Connecteur de cause. Plus formel que parce que.,🔍,connecteurs
